,precool_deg,reset_deg,day,max_oat,shed_W_ft2,"Vintage, Climate"
0,0,4,6/1/06,87.8,0.1874489,"1980-2004, 3B"
1,0,4,6/2/06,89.6,0.185522616,"1980-2004, 3B"
2,0,4,6/5/06,82.4,0.084255915,"1980-2004, 3B"
3,0,4,6/6/06,84.2,0.12738785,"1980-2004, 3B"
4,0,4,6/7/06,78.8,0.081594997,"1980-2004, 3B"
5,0,4,6/8/06,72.32,0.067752237,"1980-2004, 3B"
6,0,4,6/9/06,77,0.08558784,"1980-2004, 3B"
7,0,4,6/12/06,89.6,0.149139328,"1980-2004, 3B"
8,0,4,6/13/06,100.4,0.288589161,"1980-2004, 3B"
9,0,4,6/14/06,107.6,0.233639951,"1980-2004, 3B"
10,0,4,6/15/06,102.2,0.219826142,"1980-2004, 3B"
11,0,4,6/16/06,98.6,0.29149458,"1980-2004, 3B"
12,0,4,6/19/06,93.2,0.223379483,"1980-2004, 3B"
13,0,4,6/20/06,96.8,0.294329505,"1980-2004, 3B"
14,0,4,6/21/06,100.4,0.310626206,"1980-2004, 3B"
15,0,4,6/22/06,89.6,0.300805125,"1980-2004, 3B"
16,0,4,6/23/06,87.8,0.219546531,"1980-2004, 3B"
17,0,4,6/26/06,96.8,0.275028472,"1980-2004, 3B"
18,0,4,6/27/06,98.6,0.255071816,"1980-2004, 3B"
19,0,4,6/28/06,96.8,0.245620343,"1980-2004, 3B"
20,0,4,6/29/06,91.4,0.288358641,"1980-2004, 3B"
21,0,4,6/30/06,84.2,0.167975151,"1980-2004, 3B"
22,0,4,7/3/06,89.6,0.202617791,"1980-2004, 3B"
23,0,4,7/4/06,89.6,-0.003101376,"1980-2004, 3B"
24,0,4,7/5/06,91.4,0.242393709,"1980-2004, 3B"
25,0,4,7/6/06,95,0.291075354,"1980-2004, 3B"
26,0,4,7/7/06,93.2,0.282743385,"1980-2004, 3B"
27,0,4,7/10/06,107.6,0.21878807,"1980-2004, 3B"
28,0,4,7/11/06,100.4,0.289408322,"1980-2004, 3B"
29,0,4,7/12/06,100.4,0.317088316,"1980-2004, 3B"
30,0,4,7/13/06,100.4,0.267674894,"1980-2004, 3B"
31,0,4,7/14/06,91.4,0.300603799,"1980-2004, 3B"
32,0,4,7/17/06,89.6,0.181956359,"1980-2004, 3B"
33,0,4,7/18/06,89.6,0.252648969,"1980-2004, 3B"
34,0,4,7/19/06,95,0.299710364,"1980-2004, 3B"
35,0,4,7/20/06,98.6,0.298779109,"1980-2004, 3B"
36,0,4,7/21/06,89.6,0.270149342,"1980-2004, 3B"
37,0,4,7/24/06,91.4,0.175457884,"1980-2004, 3B"
38,0,4,7/25/06,91.4,0.201902055,"1980-2004, 3B"
39,0,4,7/26/06,95,0.267471981,"1980-2004, 3B"
40,0,4,7/27/06,95,0.298354561,"1980-2004, 3B"
41,0,4,7/28/06,89.6,0.287135998,"1980-2004, 3B"
42,0,4,7/31/06,91.4,0.245385473,"1980-2004, 3B"
43,0,4,8/1/06,91.4,0.23694875,"1980-2004, 3B"
44,0,4,8/2/06,93.2,0.23764411,"1980-2004, 3B"
45,0,4,8/3/06,87.8,0.236058484,"1980-2004, 3B"
46,0,4,8/4/06,87.8,0.206672439,"1980-2004, 3B"
47,0,4,8/7/06,100.4,0.284469724,"1980-2004, 3B"
48,0,4,8/8/06,102.2,0.232605044,"1980-2004, 3B"
49,0,4,8/9/06,91.4,0.319148627,"1980-2004, 3B"
50,0,4,8/10/06,89.6,0.267007455,"1980-2004, 3B"
51,0,4,8/11/06,93.2,0.279153004,"1980-2004, 3B"
52,0,4,8/14/06,93.2,0.196663987,"1980-2004, 3B"
53,0,4,8/15/06,93.2,0.274912995,"1980-2004, 3B"
54,0,4,8/16/06,98.6,0.289456274,"1980-2004, 3B"
55,0,4,8/17/06,100.4,0.31073263,"1980-2004, 3B"
56,0,4,8/18/06,95,0.319459636,"1980-2004, 3B"
57,0,4,8/21/06,82.4,0.137412253,"1980-2004, 3B"
58,0,4,8/22/06,84.2,0.201761981,"1980-2004, 3B"
59,0,4,8/23/06,84.2,0.188963952,"1980-2004, 3B"
60,0,4,8/24/06,91.4,0.261708291,"1980-2004, 3B"
61,0,4,8/25/06,95,0.308544539,"1980-2004, 3B"
62,0,4,8/28/06,102.2,0.26943535,"1980-2004, 3B"
63,0,4,8/29/06,93.2,0.307239958,"1980-2004, 3B"
64,0,4,8/30/06,80.6,0.177746576,"1980-2004, 3B"
65,0,4,8/31/06,87.8,0.243359672,"1980-2004, 3B"
66,2,4,6/1/06,87.8,0.403509045,"1980-2004, 3B"
67,2,4,6/2/06,89.6,0.398989207,"1980-2004, 3B"
68,2,4,6/5/06,82.4,0.296922615,"1980-2004, 3B"
69,2,4,6/6/06,84.2,0.349859836,"1980-2004, 3B"
70,2,4,6/7/06,78.8,0.284310453,"1980-2004, 3B"
71,2,4,6/8/06,72.32,0.261225524,"1980-2004, 3B"
72,2,4,6/9/06,77,0.283914326,"1980-2004, 3B"
73,2,4,6/12/06,89.6,0.376764511,"1980-2004, 3B"
74,2,4,6/13/06,100.4,0.533584636,"1980-2004, 3B"
75,2,4,6/14/06,107.6,0.503918084,"1980-2004, 3B"
76,2,4,6/15/06,102.2,0.486297385,"1980-2004, 3B"
77,2,4,6/16/06,98.6,0.532462593,"1980-2004, 3B"
78,2,4,6/19/06,93.2,0.44296922,"1980-2004, 3B"
79,2,4,6/20/06,96.8,0.537825704,"1980-2004, 3B"
80,2,4,6/21/06,100.4,0.562547774,"1980-2004, 3B"
81,2,4,6/22/06,89.6,0.527238106,"1980-2004, 3B"
82,2,4,6/23/06,87.8,0.437309187,"1980-2004, 3B"
83,2,4,6/26/06,96.8,0.511838803,"1980-2004, 3B"
84,2,4,6/27/06,98.6,0.50759812,"1980-2004, 3B"
85,2,4,6/28/06,96.8,0.497376586,"1980-2004, 3B"
86,2,4,6/29/06,91.4,0.515818682,"1980-2004, 3B"
87,2,4,6/30/06,84.2,0.384078649,"1980-2004, 3B"
88,2,4,7/3/06,89.6,0.421396167,"1980-2004, 3B"
89,2,4,7/4/06,89.6,0.003253281,"1980-2004, 3B"
90,2,4,7/5/06,91.4,0.466907615,"1980-2004, 3B"
91,2,4,7/6/06,95,0.525205837,"1980-2004, 3B"
92,2,4,7/7/06,93.2,0.513211903,"1980-2004, 3B"
93,2,4,7/10/06,107.6,0.479719497,"1980-2004, 3B"
94,2,4,7/11/06,100.4,0.536449628,"1980-2004, 3B"
95,2,4,7/12/06,100.4,0.562920226,"1980-2004, 3B"
96,2,4,7/13/06,100.4,0.52347859,"1980-2004, 3B"
97,2,4,7/14/06,91.4,0.533946069,"1980-2004, 3B"
98,2,4,7/17/06,89.6,0.402313953,"1980-2004, 3B"
99,2,4,7/18/06,89.6,0.466422844,"1980-2004, 3B"
100,2,4,7/19/06,95,0.538305423,"1980-2004, 3B"
101,2,4,7/20/06,98.6,0.551436111,"1980-2004, 3B"
102,2,4,7/21/06,89.6,0.494202105,"1980-2004, 3B"
103,2,4,7/24/06,91.4,0.403341731,"1980-2004, 3B"
104,2,4,7/25/06,91.4,0.426999306,"1980-2004, 3B"
105,2,4,7/26/06,95,0.501324657,"1980-2004, 3B"
106,2,4,7/27/06,95,0.542023194,"1980-2004, 3B"
107,2,4,7/28/06,89.6,0.51987699,"1980-2004, 3B"
108,2,4,7/31/06,91.4,0.471797529,"1980-2004, 3B"
109,2,4,8/1/06,91.4,0.465930177,"1980-2004, 3B"
110,2,4,8/2/06,93.2,0.468077804,"1980-2004, 3B"
111,2,4,8/3/06,87.8,0.458537652,"1980-2004, 3B"
112,2,4,8/4/06,87.8,0.429139723,"1980-2004, 3B"
113,2,4,8/7/06,100.4,0.538550781,"1980-2004, 3B"
114,2,4,8/8/06,102.2,0.496783549,"1980-2004, 3B"
115,2,4,8/9/06,91.4,0.558261866,"1980-2004, 3B"
116,2,4,8/10/06,89.6,0.496081323,"1980-2004, 3B"
117,2,4,8/11/06,93.2,0.515351611,"1980-2004, 3B"
118,2,4,8/14/06,93.2,0.426387598,"1980-2004, 3B"
119,2,4,8/15/06,93.2,0.511585312,"1980-2004, 3B"
120,2,4,8/16/06,98.6,0.534663178,"1980-2004, 3B"
121,2,4,8/17/06,100.4,0.559066714,"1980-2004, 3B"
122,2,4,8/18/06,95,0.566616927,"1980-2004, 3B"
123,2,4,8/21/06,82.4,0.35620649,"1980-2004, 3B"
124,2,4,8/22/06,84.2,0.417695421,"1980-2004, 3B"
125,2,4,8/23/06,84.2,0.406619978,"1980-2004, 3B"
126,2,4,8/24/06,91.4,0.500724967,"1980-2004, 3B"
127,2,4,8/25/06,95,0.556770468,"1980-2004, 3B"
128,2,4,8/28/06,102.2,0.529087321,"1980-2004, 3B"
129,2,4,8/29/06,93.2,0.552494776,"1980-2004, 3B"
130,2,4,8/30/06,80.6,0.399685793,"1980-2004, 3B"
131,2,4,8/31/06,87.8,0.474627252,"1980-2004, 3B"
132,2,5,6/1/06,87.8,0.406264568,"1980-2004, 3B"
133,2,5,6/2/06,89.6,0.401999393,"1980-2004, 3B"
134,2,5,6/5/06,82.4,0.298943818,"1980-2004, 3B"
135,2,5,6/6/06,84.2,0.352617554,"1980-2004, 3B"
136,2,5,6/7/06,78.8,0.284296755,"1980-2004, 3B"
137,2,5,6/8/06,72.32,0.261427895,"1980-2004, 3B"
138,2,5,6/9/06,77,0.285086855,"1980-2004, 3B"
139,2,5,6/12/06,89.6,0.380760646,"1980-2004, 3B"
140,2,5,6/13/06,100.4,0.550586089,"1980-2004, 3B"
141,2,5,6/14/06,107.6,0.533331009,"1980-2004, 3B"
142,2,5,6/15/06,102.2,0.512348756,"1980-2004, 3B"
143,2,5,6/16/06,98.6,0.548477983,"1980-2004, 3B"
144,2,5,6/19/06,93.2,0.447501346,"1980-2004, 3B"
145,2,5,6/20/06,96.8,0.550197878,"1980-2004, 3B"
146,2,5,6/21/06,100.4,0.582259068,"1980-2004, 3B"
147,2,5,6/22/06,89.6,0.532737503,"1980-2004, 3B"
148,2,5,6/23/06,87.8,0.440670311,"1980-2004, 3B"
149,2,5,6/26/06,96.8,0.524351952,"1980-2004, 3B"
150,2,5,6/27/06,98.6,0.526245199,"1980-2004, 3B"
151,2,5,6/28/06,96.8,0.514190541,"1980-2004, 3B"
152,2,5,6/29/06,91.4,0.521141043,"1980-2004, 3B"
153,2,5,6/30/06,84.2,0.386803201,"1980-2004, 3B"
154,2,5,7/3/06,89.6,0.425004322,"1980-2004, 3B"
155,2,5,7/4/06,89.6,0.003211053,"1980-2004, 3B"
156,2,5,7/5/06,91.4,0.471854171,"1980-2004, 3B"
157,2,5,7/6/06,95,0.532812228,"1980-2004, 3B"
158,2,5,7/7/06,93.2,0.518824222,"1980-2004, 3B"
159,2,5,7/10/06,107.6,0.510404243,"1980-2004, 3B"
160,2,5,7/11/06,100.4,0.553360522,"1980-2004, 3B"
161,2,5,7/12/06,100.4,0.580578677,"1980-2004, 3B"
162,2,5,7/13/06,100.4,0.544563476,"1980-2004, 3B"
163,2,5,7/14/06,91.4,0.541133348,"1980-2004, 3B"
164,2,5,7/17/06,89.6,0.406276281,"1980-2004, 3B"
165,2,5,7/18/06,89.6,0.469570665,"1980-2004, 3B"
166,2,5,7/19/06,95,0.546727269,"1980-2004, 3B"
167,2,5,7/20/06,98.6,0.567663185,"1980-2004, 3B"
168,2,5,7/21/06,89.6,0.498176255,"1980-2004, 3B"
169,2,5,7/24/06,91.4,0.406928542,"1980-2004, 3B"
170,2,5,7/25/06,91.4,0.431070793,"1980-2004, 3B"
171,2,5,7/26/06,95,0.507269168,"1980-2004, 3B"
172,2,5,7/27/06,95,0.552851895,"1980-2004, 3B"
173,2,5,7/28/06,89.6,0.525675057,"1980-2004, 3B"
174,2,5,7/31/06,91.4,0.477479502,"1980-2004, 3B"
175,2,5,8/1/06,91.4,0.471143754,"1980-2004, 3B"
176,2,5,8/2/06,93.2,0.472840124,"1980-2004, 3B"
177,2,5,8/3/06,87.8,0.462322255,"1980-2004, 3B"
178,2,5,8/4/06,87.8,0.432388113,"1980-2004, 3B"
179,2,5,8/7/06,100.4,0.559587432,"1980-2004, 3B"
180,2,5,8/8/06,102.2,0.523680933,"1980-2004, 3B"
181,2,5,8/9/06,91.4,0.567346018,"1980-2004, 3B"
182,2,5,8/10/06,89.6,0.502073912,"1980-2004, 3B"
183,2,5,8/11/06,93.2,0.523485922,"1980-2004, 3B"
184,2,5,8/14/06,93.2,0.433395191,"1980-2004, 3B"
185,2,5,8/15/06,93.2,0.519823383,"1980-2004, 3B"
186,2,5,8/16/06,98.6,0.545186481,"1980-2004, 3B"
187,2,5,8/17/06,100.4,0.575112842,"1980-2004, 3B"
188,2,5,8/18/06,95,0.578309081,"1980-2004, 3B"
189,2,5,8/21/06,82.4,0.359883632,"1980-2004, 3B"
190,2,5,8/22/06,84.2,0.420814164,"1980-2004, 3B"
191,2,5,8/23/06,84.2,0.408191021,"1980-2004, 3B"
192,2,5,8/24/06,91.4,0.509270867,"1980-2004, 3B"
193,2,5,8/25/06,95,0.569839336,"1980-2004, 3B"
194,2,5,8/28/06,102.2,0.553292225,"1980-2004, 3B"
195,2,5,8/29/06,93.2,0.564146398,"1980-2004, 3B"
196,2,5,8/30/06,80.6,0.403374731,"1980-2004, 3B"
197,2,5,8/31/06,87.8,0.481647084,"1980-2004, 3B"
198,2,6,6/1/06,87.8,0.408119507,"1980-2004, 3B"
199,2,6,6/2/06,89.6,0.40378285,"1980-2004, 3B"
200,2,6,6/5/06,82.4,0.300117161,"1980-2004, 3B"
201,2,6,6/6/06,84.2,0.354114168,"1980-2004, 3B"
202,2,6,6/7/06,78.8,0.284287354,"1980-2004, 3B"
203,2,6,6/8/06,72.32,0.261594808,"1980-2004, 3B"
204,2,6,6/9/06,77,0.285659983,"1980-2004, 3B"
205,2,6,6/12/06,89.6,0.384087806,"1980-2004, 3B"
206,2,6,6/13/06,100.4,0.559406878,"1980-2004, 3B"
207,2,6,6/14/06,107.6,0.5546488,"1980-2004, 3B"
208,2,6,6/15/06,102.2,0.53122015,"1980-2004, 3B"
209,2,6,6/16/06,98.6,0.558368551,"1980-2004, 3B"
210,2,6,6/19/06,93.2,0.45085925,"1980-2004, 3B"
211,2,6,6/20/06,96.8,0.5557312,"1980-2004, 3B"
212,2,6,6/21/06,100.4,0.594081841,"1980-2004, 3B"
213,2,6,6/22/06,89.6,0.53553654,"1980-2004, 3B"
214,2,6,6/23/06,87.8,0.443927148,"1980-2004, 3B"
215,2,6,6/26/06,96.8,0.529740958,"1980-2004, 3B"
216,2,6,6/27/06,98.6,0.536266837,"1980-2004, 3B"
217,2,6,6/28/06,96.8,0.523300553,"1980-2004, 3B"
218,2,6,6/29/06,91.4,0.524329472,"1980-2004, 3B"
219,2,6,6/30/06,84.2,0.388272827,"1980-2004, 3B"
220,2,6,7/3/06,89.6,0.428022708,"1980-2004, 3B"
221,2,6,7/4/06,89.6,0.003182444,"1980-2004, 3B"
222,2,6,7/5/06,91.4,0.475571133,"1980-2004, 3B"
223,2,6,7/6/06,95,0.536955379,"1980-2004, 3B"
224,2,6,7/7/06,93.2,0.522033214,"1980-2004, 3B"
225,2,6,7/10/06,107.6,0.532766827,"1980-2004, 3B"
226,2,6,7/11/06,100.4,0.564141193,"1980-2004, 3B"
227,2,6,7/12/06,100.4,0.591352922,"1980-2004, 3B"
228,2,6,7/13/06,100.4,0.557162688,"1980-2004, 3B"
229,2,6,7/14/06,91.4,0.544467494,"1980-2004, 3B"
230,2,6,7/17/06,89.6,0.409528755,"1980-2004, 3B"
231,2,6,7/18/06,89.6,0.471244085,"1980-2004, 3B"
232,2,6,7/19/06,95,0.551422128,"1980-2004, 3B"
233,2,6,7/20/06,98.6,0.575871319,"1980-2004, 3B"
234,2,6,7/21/06,89.6,0.501062439,"1980-2004, 3B"
235,2,6,7/24/06,91.4,0.410203232,"1980-2004, 3B"
236,2,6,7/25/06,91.4,0.433787626,"1980-2004, 3B"
237,2,6,7/26/06,95,0.511188143,"1980-2004, 3B"
238,2,6,7/27/06,95,0.557277268,"1980-2004, 3B"
239,2,6,7/28/06,89.6,0.529396995,"1980-2004, 3B"
240,2,6,7/31/06,91.4,0.48137678,"1980-2004, 3B"
241,2,6,8/1/06,91.4,0.47500171,"1980-2004, 3B"
242,2,6,8/2/06,93.2,0.476243247,"1980-2004, 3B"
243,2,6,8/3/06,87.8,0.465843957,"1980-2004, 3B"
244,2,6,8/4/06,87.8,0.434546854,"1980-2004, 3B"
245,2,6,8/7/06,100.4,0.570923316,"1980-2004, 3B"
246,2,6,8/8/06,102.2,0.541287069,"1980-2004, 3B"
247,2,6,8/9/06,91.4,0.572288105,"1980-2004, 3B"
248,2,6,8/10/06,89.6,0.506596116,"1980-2004, 3B"
249,2,6,8/11/06,93.2,0.528675444,"1980-2004, 3B"
250,2,6,8/14/06,93.2,0.437745922,"1980-2004, 3B"
251,2,6,8/15/06,93.2,0.526009922,"1980-2004, 3B"
252,2,6,8/16/06,98.6,0.552191363,"1980-2004, 3B"
253,2,6,8/17/06,100.4,0.584192626,"1980-2004, 3B"
254,2,6,8/18/06,95,0.584705689,"1980-2004, 3B"
255,2,6,8/21/06,82.4,0.362269185,"1980-2004, 3B"
256,2,6,8/22/06,84.2,0.421931198,"1980-2004, 3B"
257,2,6,8/23/06,84.2,0.408787878,"1980-2004, 3B"
258,2,6,8/24/06,91.4,0.515209359,"1980-2004, 3B"
259,2,6,8/25/06,95,0.578010534,"1980-2004, 3B"
260,2,6,8/28/06,102.2,0.569808664,"1980-2004, 3B"
261,2,6,8/29/06,93.2,0.573215781,"1980-2004, 3B"
262,2,6,8/30/06,80.6,0.405981277,"1980-2004, 3B"
263,2,6,8/31/06,87.8,0.487515954,"1980-2004, 3B"
