,precool_deg,reset_deg,day,max_oat,shed_W_ft2,"Vintage, Climate"
0,0,4,6/1/06,82.04,0.140964576,"1980-2004, 3C"
1,0,4,6/2/06,89.06,0.255401908,"1980-2004, 3C"
2,0,4,6/5/06,84.92,0.160900998,"1980-2004, 3C"
3,0,4,6/6/06,78.98,0.156415822,"1980-2004, 3C"
4,0,4,6/7/06,64.94,0.060430271,"1980-2004, 3C"
5,0,4,6/8/06,71.06,0.105565782,"1980-2004, 3C"
6,0,4,6/9/06,69.08,0.087843815,"1980-2004, 3C"
7,0,4,6/12/06,66.92,0.021575853,"1980-2004, 3C"
8,0,4,6/13/06,62.96,0.030179498,"1980-2004, 3C"
9,0,4,6/14/06,64.94,0.040008143,"1980-2004, 3C"
10,0,4,6/15/06,62.06,0.037861068,"1980-2004, 3C"
11,0,4,6/16/06,57.02,0.041892218,"1980-2004, 3C"
12,0,4,6/19/06,73.04,0.023101062,"1980-2004, 3C"
13,0,4,6/20/06,60.98,0.032178409,"1980-2004, 3C"
14,0,4,6/21/06,60.98,0.036308109,"1980-2004, 3C"
15,0,4,6/22/06,69.98,0.0725701,"1980-2004, 3C"
16,0,4,6/23/06,71.06,0.083934257,"1980-2004, 3C"
17,0,4,6/26/06,60.08,0.012672422,"1980-2004, 3C"
18,0,4,6/27/06,68,0.078152696,"1980-2004, 3C"
19,0,4,6/28/06,75.02,0.120980445,"1980-2004, 3C"
20,0,4,6/29/06,84.02,0.228240209,"1980-2004, 3C"
21,0,4,6/30/06,91.04,0.309683629,"1980-2004, 3C"
22,0,4,7/3/06,62.06,0.021926468,"1980-2004, 3C"
23,0,4,7/4/06,68,0.090724868,"1980-2004, 3C"
24,0,4,7/5/06,62.96,0.045086742,"1980-2004, 3C"
25,0,4,7/6/06,69.08,0.105422882,"1980-2004, 3C"
26,0,4,7/7/06,66.02,0.083837093,"1980-2004, 3C"
27,0,4,7/10/06,69.08,0.062894903,"1980-2004, 3C"
28,0,4,7/11/06,68,0.123268443,"1980-2004, 3C"
29,0,4,7/12/06,80.06,0.18485377,"1980-2004, 3C"
30,0,4,7/13/06,69.98,0.10894069,"1980-2004, 3C"
31,0,4,7/14/06,73.04,0.179905544,"1980-2004, 3C"
32,0,4,7/17/06,68,0.083108818,"1980-2004, 3C"
33,0,4,7/18/06,62.06,0.035071295,"1980-2004, 3C"
34,0,4,7/19/06,64.04,0.043465172,"1980-2004, 3C"
35,0,4,7/20/06,66.02,0.077795753,"1980-2004, 3C"
36,0,4,7/21/06,64.04,0.052163581,"1980-2004, 3C"
37,0,4,7/24/06,69.98,0.071778009,"1980-2004, 3C"
38,0,4,7/25/06,73.04,0.123165197,"1980-2004, 3C"
39,0,4,7/26/06,73.04,0.141576231,"1980-2004, 3C"
40,0,4,7/27/06,71.96,0.134972459,"1980-2004, 3C"
41,0,4,7/28/06,64.04,0.060347947,"1980-2004, 3C"
42,0,4,7/31/06,68,0.064777149,"1980-2004, 3C"
43,0,4,8/1/06,68,0.105621784,"1980-2004, 3C"
44,0,4,8/2/06,84.92,0.245768976,"1980-2004, 3C"
45,0,4,8/3/06,80.96,0.254735963,"1980-2004, 3C"
46,0,4,8/4/06,73.94,0.183618953,"1980-2004, 3C"
47,0,4,8/7/06,69.08,0.08439486,"1980-2004, 3C"
48,0,4,8/8/06,77,0.16556112,"1980-2004, 3C"
49,0,4,8/9/06,84.02,0.239295051,"1980-2004, 3C"
50,0,4,8/10/06,75.02,0.242246082,"1980-2004, 3C"
51,0,4,8/11/06,75.02,0.227916162,"1980-2004, 3C"
52,0,4,8/14/06,64.94,0.063016406,"1980-2004, 3C"
53,0,4,8/15/06,64.94,0.067915068,"1980-2004, 3C"
54,0,4,8/16/06,66.92,0.070628908,"1980-2004, 3C"
55,0,4,8/17/06,69.08,0.11189903,"1980-2004, 3C"
56,0,4,8/18/06,73.94,0.17186144,"1980-2004, 3C"
57,0,4,8/21/06,68,0.069832595,"1980-2004, 3C"
58,0,4,8/22/06,69.08,0.099692259,"1980-2004, 3C"
