,precool_deg,reset_deg,day,max_oat,shed_W_ft2,"Vintage, Climate"
0,0,4,6/1/06,87.8,0.533621275,"1980-2004, 3B"
1,0,4,6/2/06,89.6,0.585745875,"1980-2004, 3B"
2,0,4,6/5/06,82.4,0.295954791,"1980-2004, 3B"
3,0,4,6/6/06,84.2,0.354878729,"1980-2004, 3B"
4,0,4,6/7/06,78.8,0.127391815,"1980-2004, 3B"
5,0,4,6/8/06,72.32,0.095214238,"1980-2004, 3B"
6,0,4,6/9/06,77,0.197253241,"1980-2004, 3B"
7,0,4,6/12/06,89.6,0.478905083,"1980-2004, 3B"
8,0,4,6/13/06,100.4,0.817689583,"1980-2004, 3B"
9,0,4,6/14/06,107.6,1.117367003,"1980-2004, 3B"
10,0,4,6/15/06,102.2,1.026880132,"1980-2004, 3B"
11,0,4,6/16/06,98.6,0.907715688,"1980-2004, 3B"
12,0,4,6/19/06,93.2,0.550060004,"1980-2004, 3B"
13,0,4,6/20/06,96.8,0.756384099,"1980-2004, 3B"
14,0,4,6/21/06,100.4,0.881486946,"1980-2004, 3B"
15,0,4,6/22/06,89.6,0.618716392,"1980-2004, 3B"
16,0,4,6/23/06,87.8,0.475755413,"1980-2004, 3B"
17,0,4,6/26/06,96.8,0.77159108,"1980-2004, 3B"
18,0,4,6/27/06,98.6,0.862215945,"1980-2004, 3B"
19,0,4,6/28/06,96.8,0.835069491,"1980-2004, 3B"
20,0,4,6/29/06,91.4,0.619587702,"1980-2004, 3B"
21,0,4,6/30/06,84.2,0.363597908,"1980-2004, 3B"
22,0,4,7/3/06,89.6,0.548104601,"1980-2004, 3B"
23,0,4,7/4/06,89.6,-0.032415666,"1980-2004, 3B"
24,0,4,7/5/06,91.4,0.630957103,"1980-2004, 3B"
25,0,4,7/6/06,95,0.725531258,"1980-2004, 3B"
26,0,4,7/7/06,93.2,0.675702061,"1980-2004, 3B"
27,0,4,7/10/06,107.6,1.24380619,"1980-2004, 3B"
28,0,4,7/11/06,100.4,0.940179684,"1980-2004, 3B"
29,0,4,7/12/06,100.4,0.955687939,"1980-2004, 3B"
30,0,4,7/13/06,100.4,0.960616101,"1980-2004, 3B"
31,0,4,7/14/06,91.4,0.705629358,"1980-2004, 3B"
32,0,4,7/17/06,89.6,0.524219091,"1980-2004, 3B"
33,0,4,7/18/06,89.6,0.602151587,"1980-2004, 3B"
34,0,4,7/19/06,95,0.743515696,"1980-2004, 3B"
35,0,4,7/20/06,98.6,0.879645071,"1980-2004, 3B"
36,0,4,7/21/06,89.6,0.570631458,"1980-2004, 3B"
37,0,4,7/24/06,91.4,0.564276032,"1980-2004, 3B"
38,0,4,7/25/06,91.4,0.58182479,"1980-2004, 3B"
