,precool_deg,reset_deg,day,max_oat,shed_W_ft2,"Vintage, Climate"
0,0,4,6/1/06,82.04,0.118771115,"1980-2004, 3C"
1,0,4,6/2/06,89.06,0.360278778,"1980-2004, 3C"
2,0,4,6/5/06,84.92,0.167713586,"1980-2004, 3C"
3,0,4,6/6/06,78.98,0.166348844,"1980-2004, 3C"
4,0,4,6/7/06,64.94,0.094642065,"1980-2004, 3C"
5,0,4,6/8/06,71.06,0.110416896,"1980-2004, 3C"
6,0,4,6/9/06,69.08,0.093287667,"1980-2004, 3C"
7,0,4,6/12/06,66.92,0.040879905,"1980-2004, 3C"
8,0,4,6/13/06,62.96,0.046968451,"1980-2004, 3C"
9,0,4,6/14/06,64.94,0.056462662,"1980-2004, 3C"
10,0,4,6/15/06,62.06,0.046966249,"1980-2004, 3C"
11,0,4,6/16/06,57.02,0.039352484,"1980-2004, 3C"
12,0,4,6/19/06,73.04,0.045245765,"1980-2004, 3C"
13,0,4,6/20/06,60.98,0.041606749,"1980-2004, 3C"
14,0,4,6/21/06,60.98,0.043063756,"1980-2004, 3C"
15,0,4,6/22/06,69.98,0.075252585,"1980-2004, 3C"
16,0,4,6/23/06,71.06,0.068692859,"1980-2004, 3C"
17,0,4,6/26/06,60.08,0.029665256,"1980-2004, 3C"
18,0,4,6/27/06,68,0.07951449,"1980-2004, 3C"
19,0,4,6/28/06,75.02,0.11377662,"1980-2004, 3C"
20,0,4,6/29/06,84.02,0.304471597,"1980-2004, 3C"
21,0,4,6/30/06,91.04,0.495663578,"1980-2004, 3C"
22,0,4,7/3/06,62.06,0.045671037,"1980-2004, 3C"
23,0,4,7/4/06,68,0.076065734,"1980-2004, 3C"
24,0,4,7/5/06,62.96,0.080367231,"1980-2004, 3C"
25,0,4,7/6/06,69.08,0.11413555,"1980-2004, 3C"
26,0,4,7/7/06,66.02,0.082749962,"1980-2004, 3C"
27,0,4,7/10/06,69.08,0.080139426,"1980-2004, 3C"
28,0,4,7/11/06,68,0.083684794,"1980-2004, 3C"
29,0,4,7/12/06,80.06,0.20783156,"1980-2004, 3C"
30,0,4,7/13/06,69.98,0.14748787,"1980-2004, 3C"
31,0,4,7/14/06,73.04,0.221727914,"1980-2004, 3C"
32,0,4,7/17/06,68,0.084028746,"1980-2004, 3C"
33,0,4,7/18/06,62.06,0.054936654,"1980-2004, 3C"
34,0,4,7/19/06,64.04,0.072547714,"1980-2004, 3C"
35,0,4,7/20/06,66.02,0.083536864,"1980-2004, 3C"
36,0,4,7/21/06,64.04,0.093920281,"1980-2004, 3C"
37,0,4,7/24/06,69.98,0.084391931,"1980-2004, 3C"
38,0,4,7/25/06,73.04,0.135981658,"1980-2004, 3C"
39,0,4,7/26/06,73.04,0.140781634,"1980-2004, 3C"
40,0,4,7/27/06,71.96,0.144277608,"1980-2004, 3C"
41,0,4,7/28/06,64.04,0.095976786,"1980-2004, 3C"
42,0,4,7/31/06,68,0.055526589,"1980-2004, 3C"
