,precool_deg,reset_deg,max_oat,shed_W_ft2,"Vintage, Climate"
0,0,4,57.02,0.079185061,"1980-2004, 3C"
1,0,5,57.02,0.082055099,"1980-2004, 3C"
2,0,6,57.02,0.082055099,"1980-2004, 3C"
3,2,4,57.02,0.080791886,"1980-2004, 3C"
4,2,5,57.02,0.08118014,"1980-2004, 3C"
5,2,6,57.02,0.08118014,"1980-2004, 3C"
6,3,4,57.02,0.081273833,"1980-2004, 3C"
7,3,5,57.02,0.081273833,"1980-2004, 3C"
8,3,6,57.02,0.081273833,"1980-2004, 3C"
9,4,4,57.02,0.08029047,"1980-2004, 3C"
10,4,5,57.02,0.08029047,"1980-2004, 3C"
11,4,6,57.02,0.08029047,"1980-2004, 3C"
12,0,4,60.98,0.136227547,"1980-2004, 3C"
13,0,5,60.98,0.143312237,"1980-2004, 3C"
14,0,6,60.98,0.145871094,"1980-2004, 3C"
15,2,4,60.98,0.140175622,"1980-2004, 3C"
16,2,5,60.98,0.145322035,"1980-2004, 3C"
17,2,6,60.98,0.145384521,"1980-2004, 3C"
18,3,4,60.98,0.141405845,"1980-2004, 3C"
19,3,5,60.98,0.144524341,"1980-2004, 3C"
20,3,6,60.98,0.144524341,"1980-2004, 3C"
21,4,4,60.98,0.143167951,"1980-2004, 3C"
22,4,5,60.98,0.144507271,"1980-2004, 3C"
23,4,6,60.98,0.144507271,"1980-2004, 3C"
24,0,4,51.08,0.0322642,"1980-2004, 3C"
25,0,5,51.08,0.032255723,"1980-2004, 3C"
26,0,6,51.08,0.032255223,"1980-2004, 3C"
27,2,4,51.08,0.032158768,"1980-2004, 3C"
28,2,5,51.08,0.032158458,"1980-2004, 3C"
29,2,6,51.08,0.032158444,"1980-2004, 3C"
30,3,4,51.08,0.031537538,"1980-2004, 3C"
31,3,5,51.08,0.031537106,"1980-2004, 3C"
32,3,6,51.08,0.031537106,"1980-2004, 3C"
33,4,4,51.08,0.030974486,"1980-2004, 3C"
34,4,5,51.08,0.030974315,"1980-2004, 3C"
35,4,6,51.08,0.030974315,"1980-2004, 3C"
36,0,4,51.98,0.070827005,"1980-2004, 3C"
37,0,5,51.98,0.072800595,"1980-2004, 3C"
38,0,6,51.98,0.072800574,"1980-2004, 3C"
39,2,4,51.98,0.072233476,"1980-2004, 3C"
40,2,5,51.98,0.072348353,"1980-2004, 3C"
41,2,6,51.98,0.072348352,"1980-2004, 3C"
42,3,4,51.98,0.072314229,"1980-2004, 3C"
43,3,5,51.98,0.072314206,"1980-2004, 3C"
44,3,6,51.98,0.072314206,"1980-2004, 3C"
45,4,4,51.98,0.071744406,"1980-2004, 3C"
46,4,5,51.98,0.071744398,"1980-2004, 3C"
47,4,6,51.98,0.071744398,"1980-2004, 3C"
48,0,4,50,0.030014708,"1980-2004, 3C"
49,0,5,50,0.030014284,"1980-2004, 3C"
50,0,6,50,0.030014283,"1980-2004, 3C"
51,2,4,50,0.029783972,"1980-2004, 3C"
52,2,5,50,0.029783955,"1980-2004, 3C"
53,2,6,50,0.029783955,"1980-2004, 3C"
54,3,4,50,0.029150702,"1980-2004, 3C"
55,3,5,50,0.029150701,"1980-2004, 3C"
56,3,6,50,0.029150701,"1980-2004, 3C"
57,4,4,50,0.029243785,"1980-2004, 3C"
58,4,5,50,0.029243783,"1980-2004, 3C"
59,4,6,50,0.029243783,"1980-2004, 3C"
60,0,4,51.8,0.038756262,"1980-2004, 3C"
61,0,5,51.8,0.038756286,"1980-2004, 3C"
62,0,6,51.8,0.038756287,"1980-2004, 3C"
63,2,4,51.8,0.038382167,"1980-2004, 3C"
64,2,5,51.8,0.038382152,"1980-2004, 3C"
65,2,6,51.8,0.038382152,"1980-2004, 3C"
66,3,4,51.8,0.038114835,"1980-2004, 3C"
67,3,5,51.8,0.038114833,"1980-2004, 3C"
68,3,6,51.8,0.038114833,"1980-2004, 3C"
69,4,4,51.8,0.037773263,"1980-2004, 3C"
70,4,5,51.8,0.037773263,"1980-2004, 3C"
71,4,6,51.8,0.037773263,"1980-2004, 3C"
72,0,4,50,0.052975788,"1980-2004, 3C"
