site_name,bldg_size,total_floor_area_ft2
Our Home Spaces,small,800.0
braun2002,small,1100.0
Applied Power Technologies,small,2070.0
EnergyETC,small,2200.0
Small Commercial 1,small-medium,5900.0
Small Commercial 2,small-medium,6250.0
Small Commercial 4,small-medium,9500.0
Small Commercial 3,small-medium,14400.0
InThrMa,small-medium,18250.0
"Gilead Science, 342 Lake",medium,32000.0
"Gilead Science, 357 Lake",medium,33000.0
bldg182,medium,35659.0
One Carnegie Plaza (smaller one),medium,38808.0
County of Alameda - Courthouse Square,medium,47460.0
Alameda County Water,medium-large,51200.0
Alameda County Water District,medium-large,51200.0
County of Alameda - SSA Broadway,medium-large,59952.0
OSIsoft,medium-large,60000.0
County of Alameda - Probation Center Annex,medium-large,61167.0
JEWISH COMMUNITY CENTER,medium-large,61750.0
One Carnegie Plaza,medium-large,62800.0
Two Carnegie Plaza,medium-large,68955.0
One Parkside,medium-large,70069.0
One Vanderbilt,medium-large,73730.0
Echelon San Jose Headquarter,medium-large,75000.0
Santa Rosa Federal Building,medium-large,80000.0
xu2004,medium-large,80000.0
Two Parkside,medium-large,80750.0
Inland Regional Center,medium-large,81079.0
"Gilead Science, 300 Lake",medium-large,83000.0
Three Carnegie Plaza,medium-large,83698.0
McCuen Center One,medium-large,84000.0
CHCCC,medium-large,87000.0
County of Alameda - Madison St. Building,medium-large,87936.0
"Contra Costa County, 50 Douglas",medium-large,90000.0
Contra Costa County 50 Douglas,medium-large,90000.0
"Oracle Corporation, Rocklin",medium-large,100000.0
TCCSB,large,104500.0
Brier Corporate Center,large,104501.0
Lakeside Tower,large,112717.0
Vanderbilt Plaza,large,119035.0
Contra Costa County Summit Center,large,131000.0
"Contra Costa County, 2530 Arnold",large,131000.0
VISA 901 Metro Center,large,167436.0
VISA 901 Metro Center GTA,large,167436.0
County of Alameda - Glen Dyer Detention Facility,large,183856.0
CDPH Richmond Building P,large,205153.0
VISA 801 Metro Center,large,208398.0
VISA 801 Metro Center GTA,large,208398.0
County of Alameda - Administration Building,large,209685.0
GSA National Archives & Records Administration,large,238000.0
County of Alameda - Rene Davidson Courthouse,large,256019.0
VISA 900 Metro Center GTA,large,277767.0
VISA 900 Metro Center,large,277767.0
VISA 800 Metro Center GTA,large,296086.0
VISA 800 Metro Center,large,296086.0
71 Stevenson,large,323000.0
300 Capitol Mall,large,426000.0
CDPH Richmond Building A-K,large,492000.0
US GENERAL SERVICES ADMINISTRATION,large,605000.0
CA DGS Harris Building,large,700589.0
motegi2004,large,978000.0
GSA Ronald V. Dellums Oakland Federal Building,large,1105000.0
Seattle Municipal tower,large,1200000.0
braun2001,large,1400000.0
GSA Phillip Burton San Francisco Federal Building,large,1424000.0
Cisco Systems,large,4466000.0
