,bldg_type_hvac,bldg_vintage,ASHRAE_CZ,"Vintage, Climate",peak_demand_intensity,Data
0,Large,1980-2004,3B,"1980-2004, 3B",39.90798122,field-testing
1,Medium,Pre-1980,3C,"Pre-1980, 3C",96.84,field-testing
2,Large,1980-2004,3B,"1980-2004, 3B",93.97532468,field-testing
3,Large,1980-2004,3B,"1980-2004, 3B",22.53936842,field-testing
5,Large,1980-2004,3C,"1980-2004, 3C",67.12351097,field-testing
6,Medium,1980-2004,3C,"1980-2004, 3C",59.77777778,field-testing
7,Large,1980-2004,3C,"1980-2004, 3C",41.06870229,field-testing
8,Medium,1980-2004,3C,"1980-2004, 3C",58.82133333,field-testing
9,Large,Pre-1980,3C,"Pre-1980, 3C",16.09466292,field-testing
10,Large,Pre-1980,3C,"Pre-1980, 3C",12.65882353,field-testing
11,Large,1980-2004,3C,"1980-2004, 3C",39.9239819,field-testing
15,Large,Pre-1980,3C,"Pre-1980, 3C",42.03125,field-testing
16,Large,Pre-1980,3C,"Pre-1980, 3C",40.58269896,field-testing
17,Large,1980-2004,3C,"1980-2004, 3C",44.97128205,field-testing
18,Medium,Pre-1980,3C,"Pre-1980, 3C",72.92421875,field-testing
19,Large,1980-2004,3B,"1980-2004, 3B",99.21558442,field-testing
20,Medium,1980-2004,3C,"1980-2004, 3C",41.66372093,field-testing
21,Large,1980-2004,3C,"1980-2004, 3C",43.36854962,field-testing
22,Medium,1980-2004,3C,"1980-2004, 3C",50.45244444,field-testing
23,Medium,1980-2004,3C,"1980-2004, 3C",57.81706667,field-testing
26,Medium,1980-2004,3C,"1980-2004, 3C",156.02,field-testing
28,Large,1980-2004,3C,"1980-2004, 3C",80.2696,field-testing
30,Medium,1980-2004,3B,"1980-2004, 3B",86.9408,field-testing
31,Large,Pre-1980,3C,"Pre-1980, 3C",35.42523077,field-testing
32,Large,1980-2004,3C,"1980-2004, 3C",46.24041026,field-testing
33,Large,1980-2004,3B,"1980-2004, 3B",99.77454545,field-testing
34,Medium,1980-2004,3C,"1980-2004, 3C",42.03906977,field-testing
35,Large,1980-2004,3C,"1980-2004, 3C",35.03401045,field-testing
37,Large,1980-2004,3C,"1980-2004, 3C",42.7172,field-testing
38,Large,1980-2004,3C,"1980-2004, 3C",57.56992701,field-testing
39,Large,1980-2004,3C,"1980-2004, 3C",100.3349319,field-testing
40,Large,1980-2004,3C,"1980-2004, 3C",74.14811881,field-testing
41,Large,1980-2004,3C,"1980-2004, 3C",50.50870588,field-testing
43,Large,1980-2004,3B,"1980-2004, 3B",48.21558833,field-testing
44,Small,1980-2004,3B,"1980-2004, 3B",137.396592,field-testing
45,Small,,3C,,103.0900028,field-testing
47,Small,1980-2004,3C,"1980-2004, 3C",81.9105,field-testing
48,Small,1980-2004,3B,"1980-2004, 3B",33.58299178,field-testing
49,Small,1980-2004,3C,"1980-2004, 3C",38.40244,field-testing
50,Small,1980-2004,3C,"1980-2004, 3C",21.38756923,field-testing
51,Small,1980-2004,3C,"1980-2004, 3C",32.23109091,field-testing
52,Small,Pre-1980,3C,"Pre-1980, 3C",94.81275362,field-testing
53,Small,1980-2004,3C,"1980-2004, 3C",46.3218,field-testing
58,Medium,1980-2004,3B,"1980-2004, 3B",39.98136156,field-testing
59,Medium,1980-2004,3B,"1980-2004, 3B",45.72083243,field-testing
60,Medium,1980-2004,3B,"1980-2004, 3B",63.0522293,field-testing
61,Medium,1980-2004,3B,"1980-2004, 3B",61.27499485,field-testing
62,Medium,1980-2004,3B,"1980-2004, 3B",64.94235725,field-testing
63,Medium,1980-2004,3B,"1980-2004, 3B",52.51851746,field-testing
64,Large,1980-2004,3B,"1980-2004, 3B",53.26685416,field-testing
65,Medium,1980-2004,3B,"1980-2004, 3B",55.56557276,field-testing
67,Large,1980-2004,3B,"1980-2004, 3B",50.89158651,field-testing
68,Medium,1980-2004,3B,"1980-2004, 3B",69.5400782,field-testing
69,Medium,1980-2004,3B,"1980-2004, 3B",86.57471264,field-testing
70,Large,1980-2004,3B,"1980-2004, 3B",51.48325359,field-testing
71,Medium,Pre-1980,3C,"Pre-1980, 3C",47.075,field-testing
72,Medium,1980-2004,3B,"1980-2004, 3B",38.42857143,field-testing
73,Small,,3B,,83.39,field-testing
74,Small,,3B,,109.4551724,field-testing
75,Small,,3B,,123.5407407,field-testing
76,Small,,3B,,86.08,field-testing
77,Small,,3B,,24.25608656,field-testing
78,Small,,3B,,52.39652174,field-testing
79,Large,1980-2004,3C,"1980-2004, 3C",45.10838446,field-testing
81,Small,,3B,,48.90909091,field-testing
84,Small,1980-2004,3C,"1980-2004, 3C",53.63586441,field-testing
85,Small,1980-2004,3C,"1980-2004, 3C",31.126528,field-testing
86,Small,1980-2004,3C,"1980-2004, 3C",29.88888889,field-testing
87,Small,1980-2004,3C,"1980-2004, 3C",27.61355789,field-testing
88,Small,1980-2004,3B,"1980-2004, 3B",30.47630058,field-testing
89,Small,1980-2004,3B,"1980-2004, 3B",23.87573964,field-testing
90,Small,1980-2004,3B,"1980-2004, 3B",35.39473684,field-testing
91,Small,1980-2004,3C,"1980-2004, 3C",15.37142857,field-testing
101,Large,1980-2004,3C,"1980-2004, 3C",35.41139319,field-testing
104,Large,1980-2004,3C,"1980-2004, 3C",38.51033618,field-testing
105,Large,1980-2004,3C,"1980-2004, 3C",39.14064917,field-testing
106,Large,Pre-1980,3C,"Pre-1980, 3C",37.07609758,field-testing
107,Large,1980-2004,3C,"1980-2004, 3C",27.35503754,field-testing
108,Large,1980-2004,3C,"1980-2004, 3C",34.45107165,field-testing
109,Large,1980-2004,3C,"1980-2004, 3C",50.66865394,field-testing
110,Large,1980-2004,3C,"1980-2004, 3C",37.17502087,field-testing
111,Large,1980-2004,3C,"1980-2004, 3C",37.01569555,field-testing
112,Large,1980-2004,3C,"1980-2004, 3C",34.45107165,field-testing
113,Large,1980-2004,3C,"1980-2004, 3C",50.66865394,field-testing
114,Large,1980-2004,3C,"1980-2004, 3C",37.17502087,field-testing
115,Large,1980-2004,3C,"1980-2004, 3C",37.01569555,field-testing
116,Large,1980-2004,3C,"1980-2004, 3C",27.03096966,field-testing
118,Medium,Pre-1980,3C,"Pre-1980, 3C",72.92421875,field-testing
121,Medium,1980-2004,3B,"1980-2004, 3B",81.3456,field-testing
122,Medium,1980-2004,3C,"1980-2004, 3C",33.69519833,field-testing
123,Medium,1980-2004,3C,"1980-2004, 3C",74.10629067,field-testing
124,Medium,1980-2004,3C,"1980-2004, 3C",41.94004661,field-testing
125,Medium,1980-2004,3B,"1980-2004, 3B",59.61073989,field-testing
127,Medium,1980-2004,3C,"1980-2004, 3C",47.10228486,field-testing
129,Large,Pre-1980,3C,"Pre-1980, 3C",49.80397703,field-testing
130,Large,Pre-1980,3C,"Pre-1980, 3C",29.41969151,field-testing
