,bldg_type_hvac,bldg_vintage,ASHRAE_CZ,"Vintage, Climate",peak_demand_intensity,data
0,Large,1980-2004,3B,"1980-2004, 3B",3.708920188,Field
1,Medium,Pre-1980,3C,"Pre-1980, 3C",9,Field
2,Large,1980-2004,3B,"1980-2004, 3B",8.733766234,Field
3,Large,1980-2004,3B,"1980-2004, 3B",2.094736842,Field
5,Large,1980-2004,3C,"1980-2004, 3C",6.238244514,Field
6,Medium,1980-2004,3C,"1980-2004, 3C",5.555555556,Field
7,Large,1980-2004,3C,"1980-2004, 3C",3.816793893,Field
8,Medium,1980-2004,3C,"1980-2004, 3C",5.466666667,Field
9,Large,Pre-1980,3C,"Pre-1980, 3C",1.495786517,Field
10,Large,Pre-1980,3C,"Pre-1980, 3C",1.176470588,Field
11,Large,1980-2004,3C,"1980-2004, 3C",3.71040724,Field
15,Large,Pre-1980,3C,"Pre-1980, 3C",3.90625,Field
16,Large,Pre-1980,3C,"Pre-1980, 3C",3.771626298,Field
17,Large,1980-2004,3C,"1980-2004, 3C",4.179487179,Field
18,Medium,Pre-1980,3C,"Pre-1980, 3C",6.77734375,Field
19,Large,1980-2004,3B,"1980-2004, 3B",9.220779221,Field
20,Medium,1980-2004,3C,"1980-2004, 3C",3.872093023,Field
21,Large,1980-2004,3C,"1980-2004, 3C",4.030534351,Field
22,Medium,1980-2004,3C,"1980-2004, 3C",4.688888889,Field
23,Medium,1980-2004,3C,"1980-2004, 3C",5.373333333,Field
28,Large,1980-2004,3C,"1980-2004, 3C",7.46,Field
30,Medium,1980-2004,3B,"1980-2004, 3B",8.08,Field
31,Large,Pre-1980,3C,"Pre-1980, 3C",3.292307692,Field
32,Large,1980-2004,3C,"1980-2004, 3C",4.297435897,Field
33,Large,1980-2004,3B,"1980-2004, 3B",9.272727273,Field
34,Medium,1980-2004,3C,"1980-2004, 3C",3.906976744,Field
35,Large,1980-2004,3C,"1980-2004, 3C",3.255948926,Field
37,Large,1980-2004,3C,"1980-2004, 3C",3.97,Field
38,Large,1980-2004,3C,"1980-2004, 3C",5.350364964,Field
39,Large,1980-2004,3C,"1980-2004, 3C",9.324807795,Field
40,Large,1980-2004,3C,"1980-2004, 3C",6.891089109,Field
41,Large,1980-2004,3C,"1980-2004, 3C",4.694117647,Field
43,Large,1980-2004,3B,"1980-2004, 3B",4.481002633,Field
45,Small,1980-2004,3C,"1980-2004, 3C",9.580855282,Field
47,Small,1980-2004,3C,"1980-2004, 3C",7.6125,Field
48,Small,1980-2004,3B,"1980-2004, 3B",3.12109589,Field
49,Small,1980-2004,3C,"1980-2004, 3C",3.569,Field
50,Small,1980-2004,3C,"1980-2004, 3C",1.987692308,Field
51,Small,1980-2004,3C,"1980-2004, 3C",2.995454545,Field
52,Small,Pre-1980,3C,"Pre-1980, 3C",8.811594203,Field
53,Small,1980-2004,3C,"1980-2004, 3C",4.305,Field
58,Medium,1980-2004,3B,"1980-2004, 3B",3.715739922,Field
59,Medium,1980-2004,3B,"1980-2004, 3B",4.249147995,Field
60,Medium,1980-2004,3B,"1980-2004, 3B",5.859872611,Field
61,Medium,1980-2004,3B,"1980-2004, 3B",5.694702123,Field
62,Medium,1980-2004,3B,"1980-2004, 3B",6.03553506,Field
63,Medium,1980-2004,3B,"1980-2004, 3B",4.88090311,Field
64,Large,1980-2004,3B,"1980-2004, 3B",4.95045113,Field
65,Medium,1980-2004,3B,"1980-2004, 3B",5.164086687,Field
67,Large,1980-2004,3B,"1980-2004, 3B",4.729701348,Field
68,Medium,1980-2004,3B,"1980-2004, 3B",6.462832546,Field
69,Medium,1980-2004,3B,"1980-2004, 3B",8.045977011,Field
70,Large,1980-2004,3B,"1980-2004, 3B",4.784688995,Field
71,Medium,Pre-1980,3C,"Pre-1980, 3C",4.375,Field
73,Small,1980-2004,3B,"1980-2004, 3B",7.75,Field
76,Small,1980-2004,3B,"1980-2004, 3B",8,Field
77,Small,1980-2004,3B,"1980-2004, 3B",2.254283138,Field
78,Small,1980-2004,3B,"1980-2004, 3B",4.869565217,Field
79,Large,1980-2004,3C,"1980-2004, 3C",4.192229039,Field
100,Large,1980-2004,3C,"1980-2004, 3C",3.291021672,Field
103,Large,1980-2004,3C,"1980-2004, 3C",3.579027526,Field
104,Large,1980-2004,3C,"1980-2004, 3C",3.637606801,Field
105,Large,Pre-1980,3C,"Pre-1980, 3C",3.445733976,Field
106,Large,1980-2004,3C,"1980-2004, 3C",2.542289734,Field
107,Large,1980-2004,3C,"1980-2004, 3C",3.201772458,Field
108,Large,1980-2004,3C,"1980-2004, 3C",4.708982709,Field
109,Large,1980-2004,3C,"1980-2004, 3C",3.45492759,Field
110,Large,1980-2004,3C,"1980-2004, 3C",3.440120404,Field
111,Large,1980-2004,3C,"1980-2004, 3C",3.201772458,Field
112,Large,1980-2004,3C,"1980-2004, 3C",4.708982709,Field
113,Large,1980-2004,3C,"1980-2004, 3C",3.45492759,Field
114,Large,1980-2004,3C,"1980-2004, 3C",3.440120404,Field
115,Small,1980-2004,3B,"1980-2004, 3B",7,Simulation
116,Small,1980-2004,3C,"1980-2004, 3C",4.35,Simulation
117,Medium,1980-2004,3B,"1980-2004, 3B",6.6977,Simulation
118,Medium,1980-2004,3C,"1980-2004, 3C",4.5386,Simulation
119,Large,1980-2004,3B,"1980-2004, 3B",4,Simulation
120,Large,1980-2004,3C,"1980-2004, 3C",3.48,Simulation
