Building Type,Vintage,Climate,Highest GTA Level,Precool,GTA,GTA only DDI (W/sf)
SmallOffice,1980-2004,3B,Precool-2F+GTA-4F,,,0.59
SmallOffice,1980-2004,3C,Precool-2F+GTA-4F,,,0.4
SmallOffice,90.1-2004,3B,Precool-2F+GTA-4F,,,0.47
SmallOffice,90.1-2004,3C,Precool-2F+GTA-4F,,,0.37
MediumOffice,1980-2004,3B,Precool-2F+GTA-4F,0,4,1
MediumOffice,1980-2004,3B,Precool-2F+GTA-5F,0,5,1.12
MediumOffice,1980-2004,3B,Precool-2F+GTA-6F,0,6,1.14
MediumOffice,1980-2004,3B,Precool-2F+GTA-4F,2,4,1.06
MediumOffice,1980-2004,3B,Precool-2F+GTA-5F,2,5,1.12
MediumOffice,1980-2004,3B,Precool-2F+GTA-6F,2,6,1.14
MediumOffice,1980-2004,3C,Precool-2F+GTA-4F,0,4,0.29
MediumOffice,1980-2004,3C,Precool-2F+GTA-5F,0,5,0.3
MediumOffice,1980-2004,3C,Precool-2F+GTA-6F,0,6,0.3
MediumOffice,1980-2004,3C,Precool-2F+GTA-4F,2,4,0.29
MediumOffice,1980-2004,3C,Precool-2F+GTA-5F,2,5,9.3
MediumOffice,1980-2004,3C,Precool-2F+GTA-6F,2,6,0.3
MediumOffice,1980-2004,3C,Precool-2F+GTA-6F,,,0.34
MediumOffice,90.1-2004,3B,Precool-2F+GTA-6F,,,0.74
MediumOffice,90.1-2004,3C,Precool-2F+GTA-6F,,,0.16
LargeOffice,1980-2004,3B,Precool-2F+GTA-5F,,,0.24
LargeOffice,1980-2004,3C,Precool-2F+GTA-6F,,,0.14
LargeOffice,90.1-2004,3B,Precool-2F+GTA-5F,,,0.27
LargeOffice,90.1-2004,3C,Precool-2F+GTA-5F,,,0.14
