Building Type,Vintage,Climate,GTA level increase (F),Highest GTA Level,GTA only DDI (W/sf),Adj GTA with Pre-cooling DDI (W/sf),delta DDI (W/sf),DDI increase (%),"kW shed per 10,000 sf [GTA-only] (kW)","kW shed increase per 10,000 sf (kW)",kW shed increase (kW),% of shed improvement in baseline demand (%),DII (take),Pre-cooling kWh change (%),Net kWh increase (%),delta WA OpT (F),OpTmax GTA (F),Adj GTA with Pre-cooling OpTmax (F),delta OpTmax (F),baseline demand [GTA-only] (%),delta DDI (W/sf)
SmallOffice,1980-2004,3A,0,Precool-2F+GTA-4F,0.65,0.74,0.09,0.13,6.52,0.86,0.47,0.02,-0.33,-0.01,0.01,-0.3,80.5,80.3,-0.2,0.13,0.09
SmallOffice,1980-2004,3B,0,Precool-2F+GTA-4F,0.59,0.66,0.07,0.12,5.94,0.69,0.38,0.02,-0.29,-0.02,0.01,-0.3,80.1,79.8,-0.3,0.13,0.07
SmallOffice,1980-2004,3C,0,Precool-2F+GTA-4F,0.4,0.45,0.04,0.11,4.02,0.44,0.24,0.01,-0.21,-0.01,0.01,-0.3,79.7,79.5,-0.2,0.11,0.04
SmallOffice,90.1-2004,3A,0,Precool-2F+GTA-4F,0.58,0.66,0.08,0.15,5.78,0.84,0.46,0.02,-0.28,-0.01,0,-0.3,79.5,79.2,-0.3,0.17,0.08
SmallOffice,90.1-2004,3B,0,Precool-2F+GTA-4F,0.47,0.54,0.06,0.13,4.73,0.62,0.34,0.02,-0.16,-0.02,0,-0.2,80.8,80.6,-0.2,0.13,0.06
SmallOffice,90.1-2004,3C,0,Precool-2F+GTA-4F,0.37,0.43,0.07,0.18,3.65,0.65,0.36,0.03,-0.22,-0.01,0.01,-0.4,78.6,78.2,-0.4,0.14,0.07
SmallOffice,90.1-2013,3A,0,Precool-2F+GTA-4F,0.37,0.41,0.04,0.1,3.74,0.39,0.21,0.02,-0.12,-0.02,0,-0.2,79.5,79.3,-0.2,0.14,0.04
SmallOffice,90.1-2013,3B,0,Precool-2F+GTA-4F,0.34,0.38,0.04,0.13,3.36,0.43,0.24,0.02,-0.11,-0.02,0,-0.1,80.3,80.2,-0.1,0.12,0.04
SmallOffice,90.1-2013,3C,0,Precool-2F+GTA-4F,0.26,0.31,0.05,0.19,2.59,0.5,0.28,0.03,-0.16,-0.02,0.01,-0.4,81,80.6,-0.4,0.13,0.05
MediumOffice,1980-2004,3A,1,Precool-2F+GTA-5F,0.88,1.04,0.16,0.18,8.8,1.59,8.53,0.03,-0.69,-0.01,0.02,-0.3,81.3,81.4,0.1,0.18,0.16
MediumOffice,1980-2004,3B,1,Precool-2F+GTA-5F,0.89,1.03,0.14,0.15,8.89,1.36,7.29,0.03,-0.57,-0.02,0.02,-0.4,82.5,82.7,0.2,0.18,0.14
MediumOffice,1980-2004,3C,2,Precool-2F+GTA-6F,0.34,0.36,0.03,0.07,3.37,0.25,1.34,0.01,-0.3,0,0.02,-0.6,81.3,81.7,0.4,0.09,0.03
MediumOffice,90.1-2004,3A,2,Precool-2F+GTA-6F,0.5,0.54,0.04,0.09,4.96,0.42,2.25,0.01,-0.54,0.01,0.03,-0.7,80.3,80.2,-0.1,0.14,0.04
MediumOffice,90.1-2004,3B,2,Precool-2F+GTA-6F,0.74,0.83,0.09,0.13,7.37,0.92,4.93,0.02,-0.66,-0.01,0.03,-0.6,81.4,81.7,0.3,0.19,0.09
MediumOffice,90.1-2004,3C,2,Precool-2F+GTA-6F,0.16,0.18,0.01,0.09,1.63,0.14,0.75,0.01,-0.22,0,0.02,-0.5,80.9,81.2,0.3,0.06,0.01
MediumOffice,90.1-2013,3A,2,Precool-2F+GTA-6F,0.54,0.64,0.1,0.18,5.38,0.99,5.31,0.03,-0.6,0.01,0.03,-0.6,80.4,80.7,0.3,0.18,0.1
MediumOffice,90.1-2013,3B,2,Precool-2F+GTA-6F,0.61,0.75,0.14,0.22,6.14,1.35,7.24,0.04,-0.59,0,0.03,-0.4,81,81.5,0.5,0.2,0.14
MediumOffice,90.1-2013,3C,2,Precool-2F+GTA-6F,0.2,0.22,0.02,0.09,1.98,0.17,0.91,0.01,-0.27,0.01,0.03,-0.8,79.8,79.8,0,0.09,0.02
LargeOffice,1980-2004,3A,2,Precool-2F+GTA-6F,0.28,0.35,0.07,0.25,2.79,0.71,34.47,0.02,-0.21,0,0,-0.4,81.6,82.1,0.5,0.08,0.07
LargeOffice,1980-2004,3B,1,Precool-2F+GTA-5F,0.24,0.29,0.05,0.21,2.4,0.51,24.76,0.02,-0.19,0,0.01,-0.5,82.8,83,0.2,0.07,0.05
LargeOffice,1980-2004,3C,2,Precool-2F+GTA-6F,0.14,0.16,0.02,0.12,1.38,0.17,8.25,0.01,-0.14,0,0.01,-0.6,81.3,81.8,0.5,0.05,0.02
LargeOffice,90.1-2004,3A,2,Precool-2F+GTA-6F,0.19,0.22,0.03,0.15,1.93,0.28,13.6,0.01,-0.28,0.01,0.01,-0.5,81.4,81.8,0.4,0.05,0.03
LargeOffice,90.1-2004,3B,1,Precool-2F+GTA-5F,0.27,0.3,0.03,0.1,2.68,0.28,13.6,0.01,-0.35,0.01,0.01,-0.5,82,82.1,0.1,0.07,0.03
LargeOffice,90.1-2004,3C,1,Precool-2F+GTA-5F,0.14,0.14,0,0.01,1.41,0.02,0.97,0,-0.16,0,0.01,-0.5,81.9,82.1,0.2,0.04,0
LargeOffice,90.1-2013,3A,1,Precool-2F+GTA-5F,0.23,0.27,0.04,0.17,2.31,0.4,19.42,0.01,-0.32,0.01,0.01,-0.6,81.5,81.8,0.3,0.07,0.04
LargeOffice,90.1-2013,3B,1,Precool-2F+GTA-5F,0.25,0.31,0.06,0.24,2.52,0.6,29.13,0.02,-0.32,0,0.01,-0.5,82,82.2,0.2,0.07,0.06
LargeOffice,90.1-2013,3C,2,Precool-2F+GTA-6F,0.13,0.16,0.03,0.19,1.31,0.25,12.14,0.01,-0.21,0.01,0.01,-0.5,81.5,81.9,0.4,0.05,0.03
RetailStandalone,1980-2004,3A,0,Precool-2F+GTA-4F,0.49,0.54,0.04,0.09,4.94,0.44,1.1,0.01,-0.27,-0.01,0.01,-0.1,88.3,88.3,0,0.07,0.04
RetailStandalone,1980-2004,3B,0,Precool-2F+GTA-4F,0.7,0.75,0.05,0.07,7.01,0.48,1.2,0.01,-0.34,-0.02,0.02,-0.2,88,87.8,-0.2,0.12,0.05
RetailStandalone,1980-2004,3C,0,Precool-2F+GTA-4F,0.37,0.39,0.02,0.06,3.66,0.2,0.5,0,-0.19,-0.01,0.01,-0.2,85.6,85.6,0,0.08,0.02
RetailStandalone,90.1-2004,3A,0,Precool-2F+GTA-4F,0.74,0.86,0.12,0.17,7.38,1.24,3.1,0.02,-0.38,-0.01,0.01,-0.3,80.7,80.4,-0.3,0.14,0.12
RetailStandalone,90.1-2004,3B,0,Precool-2F+GTA-4F,0.71,0.84,0.13,0.18,7.14,1.25,3.12,0.02,-0.37,-0.02,0.01,-0.3,81,80.8,-0.2,0.13,0.13
RetailStandalone,90.1-2004,3C,0,Precool-2F+GTA-4F,0.58,0.65,0.08,0.13,5.78,0.76,1.9,0.02,-0.33,-0.02,0.01,-0.4,81.5,81.2,-0.3,0.14,0.08
RetailStandalone,90.1-2013,3A,0,Precool-2F+GTA-4F,0.56,0.68,0.12,0.21,5.64,1.18,2.95,0.04,-0.41,-0.01,0.02,-0.4,80,79.7,-0.3,0.17,0.12
RetailStandalone,90.1-2013,3B,0,Precool-2F+GTA-4F,0.74,0.83,0.09,0.13,7.39,0.94,2.35,0.03,-0.5,-0.01,0.02,-0.3,80.4,80.1,-0.3,0.2,0.09
RetailStandalone,90.1-2013,3C,0,Precool-2F+GTA-4F,0.41,0.46,0.06,0.14,4.05,0.58,1.45,0.02,-0.27,-0.02,0.01,-0.4,79.5,79.2,-0.3,0.16,0.06
LargeHotel,1980-2004,3A,2,Precool [2F]+GTA [6F],0.15,0.18,0.02,0.14,1.54,0.22,1.31,0.01,-0.19,0,0.01,-0.44,88.5,88.5,0,0.04,0.02
LargeHotel,1980-2004,3B,1,Precool [2F]+GTA [5F],0.31,0.35,0.04,0.13,3.12,0.41,2.44,0.01,-0.25,0,0.01,-0.33,87,87.5,0.5,0.08,0.04
LargeHotel,1980-2004,3C,1,Precool [2F]+GTA [5F],0.07,0.08,0.01,0.18,0.68,0.12,0.71,0.01,-0.08,0,0.01,-0.15,86.4,86.9,0.5,0.03,0.01
LargeHotel,90.1-2004,3A,2,Precool [2F]+GTA [6F],0.06,0.08,0.02,0.39,0.56,0.22,1.31,0.01,-0.09,0,0,-0.02,84.6,84.4,-0.2,0.01,0.02
LargeHotel,90.1-2004,3B,2,Precool [2F]+GTA [6F],0.06,0.09,0.02,0.36,0.64,0.23,1.37,0.01,-0.1,0,0,-0.03,85.3,84.9,-0.4,0.02,0.02
LargeHotel,90.1-2004,3C,2,Precool [2F]+GTA [6F],0,0.01,0,0.25,0.04,0.01,0.06,0,-0.02,0,0,-0.01,83.7,83.5,-0.2,0,0
LargeHotel,90.1-2013,3A,2,Precool [2F]+GTA [6F],0.05,0.07,0.02,0.45,0.49,0.22,1.31,0.01,-0.06,0,0,-0.01,83.9,83.8,-0.1,0.02,0.02
LargeHotel,90.1-2013,3B,2,Precool [2F]+GTA [6F],0.12,0.14,0.03,0.22,1.18,0.26,1.55,0.01,-0.1,0,0,-0.17,87.2,87,-0.2,0.06,0.03
LargeHotel,90.1-2013,3C,2,Precool [2F]+GTA [6F],0.04,0.05,0.01,0.21,0.43,0.09,0.54,0.01,-0.04,0,0,-0.02,86.4,86,-0.4,0.03,0.01
SecondarySchool,1980-2004,3A,0,Precool [2F]+GTA [4F],0.86,0.9,0.04,0.05,8.58,0.4,8.43,0.01,-0.3,-0.03,0.01,-0.1,82.1,82,-0.1,0.16,0.04
