site_name,data_source,Baseline,DR-Program,DR-Event-Day,DR-StartTime,DR-EndTime,max_oat,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
300 Capitol Mall,field-testing,OAT_MA_CBL,,10/13/04,12:45,13:45,,82,74,,0.07,0.06,,0.21,0.19,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
300 Capitol Mall,field-testing,OAT_MA_CBL,,10/13/04,13:45,14:45,,154,109,,0.12,0.09,,0.4,0.28,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
300 Capitol Mall,field-testing,OAT_MA_CBL,,10/13/04,14:45,15:45,,232,143,,0.18,0.11,,0.61,0.37,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
300 Capitol Mall,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,60,-21,,0.06,-0.02,,0.16,-0.06,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
300 Capitol Mall,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,18,-2,,0.02,0,,0.05,-0.01,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
300 Capitol Mall,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,54,31,,0.05,0.03,,0.14,0.08,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,9/8/04,12:45,13:45,,67,44,,0.16,0.1,,1.33,0.88,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,9/8/04,13:45,14:45,,48,44,,0.11,0.1,,0.97,0.87,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,9/8/04,14:45,15:45,,31,26,,0.07,0.06,,0.62,0.53,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,9/21/04,13:15,14:15,,46,39,,0.12,0.11,,0.92,0.78,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,9/21/04,14:15,15:15,,52,47,,0.15,0.13,,1.03,0.93,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,9/21/04,15:15,16:15,,59,53,,0.16,0.14,,1.17,1.06,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,10/13/04,12:45,13:45,,23,20,,0.07,0.05,,0.46,0.39,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,10/13/04,13:45,14:45,,26,19,,0.07,0.05,,0.51,0.39,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,10/13/04,14:45,15:45,,30,25,,0.08,0.07,,0.61,0.49,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,28,18,,0.09,0.05,,0.57,0.36,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Albertsons,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,24,20,,0.07,0.06,,0.47,0.41,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
