site_name,Baseline,DR-Event-Day,DR-StartTime,DR-EndTime,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
300 Capitol Mall,OAT_MA_CBL,10/13/04,12:45,13:45,82.00,74.00,,0.07,0.06,,0.21,0.19,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
300 Capitol Mall,OAT_MA_CBL,10/13/04,13:45,14:45,154.00,109.00,,0.12,0.09,,0.40,0.28,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
300 Capitol Mall,OAT_MA_CBL,10/13/04,14:45,15:45,232.00,143.00,,0.18,0.11,,0.61,0.37,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
300 Capitol Mall,OAT_MA_CBL,11/5/04,12:45,13:45,60.00,-21.00,,0.06,-0.02,,0.16,-0.06,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
300 Capitol Mall,OAT_MA_CBL,11/5/04,13:45,14:45,18.00,-2.00,,0.02,0.00,,0.05,-0.01,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
300 Capitol Mall,OAT_MA_CBL,11/5/04,14:45,15:45,54.00,31.00,,0.05,0.03,,0.14,0.08,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,9/8/04,12:45,13:45,67.00,44.00,,0.16,0.10,,1.33,0.88,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,9/8/04,13:45,14:45,48.00,44.00,,0.11,0.10,,0.97,0.87,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,9/8/04,14:45,15:45,31.00,26.00,,0.07,0.06,,0.62,0.53,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,9/21/04,13:15,14:15,46.00,39.00,,0.12,0.11,,0.92,0.78,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,9/21/04,14:15,15:15,52.00,47.00,,0.15,0.13,,1.03,0.93,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,9/21/04,15:15,16:15,59.00,53.00,,0.16,0.14,,1.17,1.06,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,10/13/04,12:45,13:45,23.00,20.00,,0.07,0.05,,0.46,0.39,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,10/13/04,13:45,14:45,26.00,19.00,,0.07,0.05,,0.51,0.39,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,10/13/04,14:45,15:45,30.00,25.00,,0.08,0.07,,0.61,0.49,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,11/5/04,12:45,13:45,28.00,18.00,,0.09,0.05,,0.57,0.36,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,11/5/04,13:45,14:45,24.00,20.00,,0.07,0.06,,0.47,0.41,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Albertsons, Fruitville",OAT_MA_CBL,11/5/04,14:45,15:45,32.00,29.00,,0.10,0.09,,0.63,0.58,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,OAT_MA_CBL,9/8/04,12:45,13:45,110.00,54.00,,0.10,0.05,,0.62,0.30,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,OAT_MA_CBL,9/8/04,13:45,14:45,104.00,51.00,,0.10,0.05,,0.59,0.29,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,OAT_MA_CBL,9/8/04,14:45,15:45,141.00,96.00,,0.12,0.09,,0.80,0.54,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,OAT_MA_CBL,9/21/04,13:15,14:15,67.00,-34.00,,0.07,-0.04,,0.38,-0.20,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,OAT_MA_CBL,9/21/04,14:15,15:15,0.00,-40.00,,0.00,-0.04,,0.00,-0.23,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,OAT_MA_CBL,9/21/04,15:15,16:15,89.00,6.00,,0.10,0.01,,0.51,0.03,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Bank of America Concord Data Center,OAT_MA_CBL,10/13/04,12:45,13:45,66.00,17.00,,0.01,0.00,,0.09,0.02,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
