site_name,total_floor_area_ft2
Our Home Spaces,800.0
Applied Power Technologies,2070.0
EnergyETC,2200.0
HD Supply,6000.0
Enmetric,13000.0
InThrMa,18250.0
Lutron,20000.0
Trane,25000.0
"Gilead Science, 342 Lakeside Dr.",32000.0
"Gilead Science, 342 Lake",32000.0
"Gilead Science, 357 Lakeside Dr.",33000.0
"Gilead Science, 357 Lake",33000.0
One Carnegie Plaza (smaller one),38808.0
CANMET Energy Technology Centre - Varennes,45000.0
"Albertsons, Fruitville",50000.0
"Alameda County Water District, Headquarter",51200.0
Alameda County Water,51200.0
OSIsoft,60000.0
One Carnegie Plaza,62800.0
Two Carnegie Plaza,68955.0
One Parkside,70069.0
One Vanderbilt,73730.0
Echelon San Jose Headquarter,75000.0
Echelon,75000.0
"Echelon, San Jose Headquarter",75000.0
Two Parkside,80750.0
Inland Regional Center,81079.0
"Gilead Science, 300 Lake",83000.0
Three Carnegie Plaza,83698.0
"Chabot Space and Science Center, Building 1&2",86000.0
Chabot Space and Scienc,86000.0
CHCCC,87000.0
Contra Costa County 50 Douglas,90000.0
"Contra Costa County, 50 Douglas",90000.0
"Lawrence Berkeley National Laboratory, Oakland Scientific Facility",90000.0
Target-T0637,99471.0
Seattle University,99840.0
Kadant Grantek,100000.0
McKinstry,100000.0
"Oracle Corporation, Roc",100000.0
"Oracle Corporation, Rocklin",100000.0
Svenhard's Swedish Bak,101000.0
NetApp,101355.0
TCCSB,104500.0
Brier Corporate Center,104501.0
Lakeside Tower,112717.0
Vanderbilt Plaza,119035.0
"Target, Hayward Store",130000.0
"Contra Costa County, 2530 Arnold",131000.0
Contra Costa County Summit Center,131000.0
"Target, Antioch Store",140686.0
"Target, Bakersfield Store",143941.0
Target-T1284,165667.0
Monterey Commerce Center,170000.0
MDF,172300.0
Roche Palo Alto,192000.0
GSA National Archives & Records Administration,238000.0
"IKEA, Emeryville",274000.0
UC Santa Barbara Davidson Library,289000.0
"IKEA, East Palo Alto Store",300000.0
"IKEA, East Palo Alto St",300000.0
"United States Postal Service, San Jose Process and Distribution Center",390000.0
"US Postal Service, San Jose Process & Distribution Center",390000.0
"Sybase, Corporate Head",425000.0
300 Capitol Mall,426000.0
"Solectron, Corporate He",499206.0
"Bank of America, Concord Technology Center",616000.0
Bank of America Concord Data Center,616000.0
University of California at Merced,800000.0
Joe Serna Jr. Cal/EPA Headquarters Building,950000.0
GSA Ronald V. Dellums Oakland Federal Building,1105000.0
Seattle Municipal tower,1200000.0
GSA Phillip Burton San Francisco Federal Building,1424000.0
Cisco Systems,4466000.0
