bldg_size,bldg_vintage,ASHRAE_CZ,site_name
large,1980-2004,3B,9
large,1980-2004,3C,30
large,1980-2004,4A,1
large,1980-2004,4C,1
large,1980-2004,5A,1
large,Post-2004,3B,3
large,Post-2004,3C,5
large,Pre-1980,3C,11
large,Pre-1980,4A,3
medium,1980-2004,3B,3
medium,1980-2004,3C,15
medium,Post-2004,3B,1
medium,Post-2004,3C,1
medium,Pre-1980,3C,3
medium,Pre-1980,4A,1
medium-large,1980-2004,3B,13
medium-large,1980-2004,3C,17
medium-large,1980-2004,4C,1
medium-large,1980-2004,6A,1
medium-large,Post-2004,3C,3
medium-large,Pre-1980,3B,1
medium-large,Pre-1980,3C,7
medium-large,Pre-1980,4C,1
small,1980-2004,3B,3
small,1980-2004,3C,3
small,1980-2004,5A,1
small,Post-2004,3C,1
small,Pre-1980,3C,1
small-medium,1980-2004,3B,3
small-medium,1980-2004,3C,9
small-medium,Post-2004,3C,2
small-medium,Pre-1980,3C,1
