location_format_short_name,DOE Climate Zone,location_status,mail_address_line1,mail_address_line2,mail_city,mail_region,mail_postal_code,location_format,merchandise_level,total_building_area,net_selling_area,total_stock_area,last_remodel_date,last_remodel_type,milestone_grand_open_date,milestone_constturnover_date,number of HVAC,DR Program,Baseline Notes
T0013,3A,Open,13131 Montfort Dr,NA,Dallas,TX,75240,Pfresh,1,137484,69674,19989,10/17/2010,MR,8/19/1969,7/11/1969,16,Standard Offer Program,
T0055,3A,Open,6464 E NORTHWEST HWY STE 212,NA,Dallas,TX,75214,Pfresh,1,125587,74710,18913,10/26/2017,Remodel,7/15/1977,6/6/1977,21,Standard Offer Program,
T0193,3B,Open,13831 Brookhurst St,NA,Garden Grove,CA,92843,Pfresh,1,112129,68708,16088,10/6/2011,MR,4/17/1983,3/9/1983,14,SCE Demand Response Auction Mechanism (DRAM),"10 of 10 non-holiday, non-weekend, non-event day with day of adjustment"
T0199,3B,Open,1200 N Sepulveda Blvd,NA,Manhattan Beach,CA,90266,Pfresh,1,135827,80936,27064,11/2/2017,Remodel,4/17/1983,3/9/1983,19,SCE Demand Response Auction Mechanism (DRAM),"10 of 10 non-holiday, non-weekend, non-event day with day of adjustment"
T0233,2B,Open,12602 N Paradise Village Pkwy W,NA,Phoenix,AZ,85032,Pfresh,1,120065,77536,14869,9/6/2019,Remodel,10/13/1985,9/4/1985,26,Peak Solutions,
T0290,3B,Open,2169 W Redondo Beach Blvd,NA,Gardena,CA,90247,Pfresh,1,143512,85254,25230,4/13/2018,Remodel,9/13/1987,8/5/1987,16,SCE Demand Response Auction Mechanism (DRAM),"10 of 10 non-holiday, non-weekend, non-event day with day of adjustment"
T0307,3B,Open,67750 E Palm Canyon Dr,NA,Cathedral City,CA,92234,Pfresh,1,120265,76103,15193,10/6/2011,RS,7/26/1987,6/17/1987,19,SCE Demand Response Auction Mechanism (DRAM),"10 of 10 non-holiday, non-weekend, non-event day with day of adjustment"
T0332,3B,Open,4301 Century Blvd,NA,Pittsburg,CA,94565,Gen Merch,1,101581,65852,14477,10/14/2015,MR,2/21/1988,1/13/1988,15,Capacity Bidding Program (CBP),"10 of 10 non-holiday, non-weekend, non-event day with day of adjustment"
T0336,3B,Open,3750 Barranca Pkwy,NA,Irvine,CA,92606,Pfresh,1,111769,71527,15043,10/14/2010,MR,7/24/1988,6/15/1988,17,SCE Demand Response Auction Mechanism (DRAM),"10 of 10 non-holiday, non-weekend, non-event day with day of adjustment"
T0656,2A,Open,13658 University Plaza St,NA,Tampa,FL,33613,Pfresh,1,117886,73212,21185,3/22/2012,MR,7/28/1991,6/19/1991,16,NDRT - Networked Demand Response TECO,
T0666,5A,Open,6000 Sawmill Rd,NA,Dublin,OH,43017,Pfresh,1,140750,85468,25350,7/21/2011,RS,10/13/1991,9/4/1991,25,"Base Capacity (starting 6/1/20).  Emergency Load Response Program (ELRP) through May 31, 2020",Annual Peak Load Contribution (PLC) sets baseline.  PLC determined by weather adjusted meter load during 5 1-hour coincident peak intervals June-Sept of prior summer.  Performance is calculated based on firm service level (FSL) relative to PLC.
T0674,4A,Open,3000 W Deyoung St,NA,Marion,IL,62959,Pfresh,1,112313,74825,14577,6/21/2012,MR,10/13/1991,10/9/1991,12,MISO Load Modifying Resource,
T0798,2A,Open,6295 W Waters Ave,NA,Tampa,FL,33634,Pfresh,1,134638,83273,19693,10/6/2011,RS,3/10/1996,1/31/1996,21,NDRT - Networked Demand Response TECO,
T0810,5A,Open,6560 E State St,NA,Rockford,IL,61108,Pfresh,1,136661,78097,24997,7/20/2018,Remodel,7/26/1992,6/17/1992,27,"Base Capacity (starting 6/1/20).  Emergency Load Response Program (ELRP) through May 31, 2020",Annual Peak Load Contribution (PLC) sets baseline.  PLC determined by weather adjusted meter load during 5 1-hour coincident peak intervals June-Sept of prior summer.  Performance is calculated based on firm service level (FSL) relative to PLC.
T0812,2A,Open,187 Brandon Town Center Dr,NA,Brandon,FL,33511,Pfresh,1,113892,76779,14589,7/22/2010,RS,7/26/1992,6/17/1992,16,NDRT - Networked Demand Response TECO,
T0824,2A,Open,708 E Expressway 83,NA,McAllen,TX,78503,Gen Merch,1,135324,73531,28506,4/10/2016,Remodel,10/11/1992,9/2/1992,22,ERS 30,
T0871,5A,Open,5001 N Big Hollow Rd,NA,Peoria,IL,61615,Pfresh,1,117484,76197,14371,10/26/2018,Remodel,10/10/1993,9/1/1993,19,MISO Load Modifying Resource,
T0875,3A,Open,2417 N Haskell Ave,NA,Dallas,TX,75204,Pfresh,1,129565,80019,20462,6/23/2016,Remodel,10/10/1993,9/1/1993,20,Standard Offer Program,
T0876,3A,Open,1101 Ira E Woods Ave,NA,Grapevine,TX,76051,Pfresh,1,117209,74812,13983,5/1/2017,Remodel,10/10/1993,9/1/1993,19,Standard Offer Program,
T0884,4B,Open,1851 E Highway 69,NA,Prescott,AZ,86301,Gen Merch,1,89170,55920,12096,7/20/2018,Remodel,10/9/1994,8/31/1994,14,Peak Solutions,
T0895,5A,Open,1615 N State Route 50,NA,Bourbonnais,IL,60914,Pfresh,1,106251,68218,14472,6/21/2019,Remodel,7/24/1994,7/20/1994,18,"Base Capacity (starting 6/1/20).  Emergency Load Response Program (ELRP) through May 31, 2020",Annual Peak Load Contribution (PLC) sets baseline.  PLC determined by weather adjusted meter load during 5 1-hour coincident peak intervals June-Sept of prior summer.  Performance is calculated based on firm service level (FSL) relative to PLC.
T0935,5B,Open,1650 S Milton Rd,NA,Flagstaff,AZ,86001,Pfresh,1,106679,63047,17368,11/2/2018,Remodel,7/24/1994,6/15/1994,20,Peak Solutions,
T0943,5A,Open,2102 N Prospect Ave,NA,Champaign,IL,61822,Pfresh,1,116798,75552,14630,5/1/2020,Remodel,7/23/1995,6/14/1995,19,MISO Load Modifying Resource,
T0947,3A,Open,9440 Marsh Ln,NA,Dallas,TX,75220,Pfresh,1,123290,79502,14658,8/3/2017,Remodel,10/9/1994,8/31/1994,22,Standard Offer Program,
T0984,5A,Open,1015 N Court St,NA,Medina,OH,44256,Pfresh,1,116349,68595,16428,10/10/2013,RS,7/23/1995,6/14/1995,20,"Base Capacity (starting 6/1/20).  Emergency Load Response Program (ELRP) through May 31, 2020",Annual Peak Load Contribution (PLC) sets baseline.  PLC determined by weather adjusted meter load during 5 1-hour coincident peak intervals June-Sept of prior summer.  Performance is calculated based on firm service level (FSL) relative to PLC.
T0985,5A,Open,18200 Royalton Rd,NA,Strongsville,OH,44136,Pfresh,1,116936,75672,14617,3/21/2013,RS,7/23/1995,6/14/1995,16,"Base Capacity (starting 6/1/20).  Emergency Load Response Program (ELRP) through May 31, 2020",Annual Peak Load Contribution (PLC) sets baseline.  PLC determined by weather adjusted meter load during 5 1-hour coincident peak intervals June-Sept of prior summer.  Performance is calculated based on firm service level (FSL) relative to PLC.
T0989,5A,Open,270 Airport Pkwy,NA,Heath,OH,43056,Pfresh,1,96604,58275,14574,10/6/2011,MR,7/23/1995,6/14/1995,15,"Base Capacity (starting 6/1/20).  Emergency Load Response Program (ELRP) through May 31, 2020",Annual Peak Load Contribution (PLC) sets baseline.  PLC determined by weather adjusted meter load during 5 1-hour coincident peak intervals June-Sept of prior summer.  Performance is calculated based on firm service level (FSL) relative to PLC.
T1010,5A,Open,1575 Niagara Falls Blvd,NA,Amherst,NY,14228,Pfresh,1,129477,82060,16420,3/24/2011,RS,3/8/1998,1/28/1998,14,"Commercial System Relief, Special Case Resources","Special Case Resource (SCR):  ACL (Average Coincident Load) is average of highest twenty resource loads during top forty NYCA peak
load hours in same season (Summer/Winter) of previous year.  ACL minus event meter load determines curtailment.

Commercial System Relief Program (CSRP) and Distribution Load Relief Program (DLRP):  Customer Baseline Load (CBL): Average of the usage ofeach hourly interval of the top 5 days out of the last 10 eligible
weekdays.



"
T1013,5A,Open,2626 Delaware Ave,NA,Buffalo,NY,14216,Pfresh,1,122755,73405,20253,10/26/2018,Remodel,10/6/1996,8/28/1996,19,"Commercial System Relief, Special Case Resources","Special Case Resource (SCR):  ACL (Average Coincident Load) is average of highest twenty resource loads during top forty NYCA peak
load hours in same season (Summer/Winter) of previous year.  ACL minus event meter load determines curtailment.

Commercial System Relief Program (CSRP) and Distribution Load Relief Program (DLRP):  Customer Baseline Load (CBL): Average of the usage ofeach hourly interval of the top 5 days out of the last 10 eligible
weekdays.



"
T1014,5A,Open,1750 Walden Ave,NA,Cheektowaga,NY,14225,Pfresh,1,119841,74849,16969,7/20/2018,Remodel,10/6/1996,8/28/1996,18,"Commercial System Relief, Special Case Resources","Special Case Resource (SCR):  ACL (Average Coincident Load) is average of highest twenty resource loads during top forty NYCA peak
load hours in same season (Summer/Winter) of previous year.  ACL minus event meter load determines curtailment.

Commercial System Relief Program (CSRP) and Distribution Load Relief Program (DLRP):  Customer Baseline Load (CBL): Average of the usage ofeach hourly interval of the top 5 days out of the last 10 eligible
weekdays.



"
T1016,4A,Open,721 Southpark Blvd,NA,Colonial Heights,VA,23834,Pfresh,1,116798,75665,14960,6/21/2012,MR,7/28/1996,7/24/1996,16,"Base Capacity (starting 6/1/20).  Emergency Load Response Program (ELRP) through May 31, 2020",Annual Peak Load Contribution (PLC) sets baseline.  PLC determined by weather adjusted meter load during 5 1-hour coincident peak intervals June-Sept of prior summer.  Performance is calculated based on firm service level (FSL) relative to PLC.
