,event_id,event_date,shed_start_time,shed_end_time,peak_oat,event_avg_oat,peak_demand_intensity_wft2,shed_avg_wft2
0,T0363,5/13/2020,5/13/2020 13:00,5/13/2020 14:00,89.168,86.6138,2.384690525,0.341998249
1,T0363,7/10/2020,7/10/2020 16:00,7/10/2020 18:00,110.372,110.0175,3.02982042,0.640027907
2,T0363,7/13/2020,7/13/2020 16:00,7/13/2020 18:00,110.462,109.2625,3.051825024,0.752736631
3,T0363,7/28/2020,7/28/2020 18:00,7/28/2020 20:00,112.28,108.2995,3.158712515,0.760393466
4,T0363,8/1/2020,8/1/2020 14:00,8/1/2020 17:00,108.878,107.4781538,3.147781481,0.728914967
5,T0363,8/14/2020,8/14/2020 18:00,8/14/2020 20:00,115.07,110.604,3.164644457,0.847034782
7,T0363,8/18/2020,8/18/2020 17:00,8/18/2020 19:00,112.28,109,3.09368714,0.879245143
8,T0363,8/24/2020,8/24/2020 17:00,8/24/2020 19:00,113.756,110.7765,3.079068922,0.888846128
9,T0363,9/4/2020,9/4/2020 16:00,9/4/2020 18:00,113.27,112.592,3.062006944,2.2439166
10,T0363,6/17/2021,6/17/2021 18:00,6/17/2021 21:00,116.942,109.0614615,3.08024272,0.496374392
11,T0363,6/18/2021,6/18/2021 16:00,6/18/2021 19:00,116.366,113.9792692,3.065805033,0.467167165
12,T0363,7/20/2021,7/20/2021 15:00,7/20/2021 17:00,105.656,105.4145,2.766230683,0.46029225
13,T0363,8/2/2021,8/2/2021 17:00,8/2/2021 20:00,107.654,105.5846923,2.785696069,0.409972276
14,T0363,8/4/2021,8/4/2021 16:00,8/4/2021 19:00,112.73,111.299,2.958606838,0.636268078
15,T0363,8/5/2021,8/5/2021 16:00,8/5/2021 19:00,107.366,106.4369231,2.776324944,0.50538691
0,T0950,5/13/2020,5/13/2020 13:00,5/13/2020 14:00,90.212,86.9558,2.44770974,-0.202529618
1,T0950,7/10/2020,7/10/2020 16:00,7/10/2020 18:00,110.75,110.384,3.177637946,0.430307471
2,T0950,7/13/2020,7/13/2020 16:00,7/13/2020 18:00,110.696,109.595,3.200437801,0.547845771
3,T0950,7/28/2020,7/28/2020 18:00,7/28/2020 20:00,112.73,109.844,3.270367877,0.380914471
4,T0950,8/1/2020,8/1/2020 14:00,8/1/2020 17:00,109.796,108.1365385,3.223773478,0.082948702
5,T0950,8/14/2020,8/14/2020 18:00,8/14/2020 20:00,115.322,112.0495,3.424845166,0.395943441
6,T0950,8/17/2020,8/17/2020 18:00,8/17/2020 20:00,113.522,107.9555,3.378966646,0.267457504
7,T0950,8/18/2020,8/18/2020 17:00,8/18/2020 19:00,112.46,110.3775,3.352993923,0.432149354
8,T0950,8/24/2020,8/24/2020 17:00,8/24/2020 19:00,114.26,111.789,3.418935786,0.495035539
9,T0950,9/4/2020,9/4/2020 16:00,9/4/2020 18:00,114.188,113.6205,3.426754728,0.521711047
10,T0950,6/17/2021,6/17/2021 18:00,6/17/2021 21:00,116.384,110.8112692,3.722176882,0.471774916
11,T0950,6/18/2021,6/18/2021 16:00,6/18/2021 19:00,116.348,114.5653077,3.726042793,0.528415951
12,T0950,7/20/2021,7/20/2021 15:00,7/20/2021 17:00,107.24,106.851,3.487444627,0.448268929
13,T0950,8/2/2021,8/2/2021 17:00,8/2/2021 20:00,108.86,106.637,3.53539847,0.612628546
14,T0950,8/4/2021,8/4/2021 16:00,8/4/2021 19:00,113.63,112.5195385,3.741868245,0.761825401
15,T0950,8/5/2021,8/5/2021 16:00,8/5/2021 19:00,108.14,107.3656538,3.519735722,0.612909402
0,T2365,5/13/2020,5/13/2020 13:00,5/13/2020 14:00,92.336,90.2201,2.294874572,0.409976463
1,T2365,7/10/2020,7/10/2020 16:00,7/10/2020 18:00,110.444,109.473,2.958915993,0.412637959
2,T2365,7/13/2020,7/13/2020 16:00,7/13/2020 18:00,109.508,108.915,2.958080869,0.456599183
3,T2365,7/28/2020,7/28/2020 18:00,7/28/2020 20:00,113.774,107.7345,3.222482351,0.559898469
4,T2365,8/1/2020,8/1/2020 14:00,8/1/2020 17:00,110.426,109.6035385,3.09179909,0.37169775
5,T2365,8/14/2020,8/14/2020 18:00,8/14/2020 20:00,117.086,109.4355,3.484574995,0.589351057
6,T2365,8/17/2020,8/17/2020 18:00,8/17/2020 20:00,112.19,104.061,3.265801635,0.502261627
7,T2365,8/18/2020,8/18/2020 17:00,8/18/2020 19:00,111.56,108.3355,3.266006172,0.571500184
8,T2365,8/24/2020,8/24/2020 17:00,8/24/2020 19:00,116.366,111.2345,3.49853434,0.683440049
9,T2365,9/4/2020,9/4/2020 16:00,9/4/2020 18:00,114.71,112.3425,3.413835299,0.822208103
10,T2365,6/17/2021,6/17/2021 18:00,6/17/2021 21:00,116.402,107.5633077,3.379667153,0.498161207
11,T2365,6/18/2021,6/18/2021 16:00,6/18/2021 19:00,116.276,113.1263462,3.37243857,0.391940239
12,T2365,7/20/2021,7/20/2021 15:00,7/20/2021 17:00,104.918,104.2815,3.266325679,0.452404114
13,T2365,8/2/2021,8/2/2021 17:00,8/2/2021 20:00,108.482,105.0543846,3.407846577,0.666143046
14,T2365,8/4/2021,8/4/2021 16:00,8/4/2021 19:00,113.162,110.8344615,3.584876228,0.773479886
15,T2365,8/5/2021,8/5/2021 16:00,8/5/2021 19:00,106.448,105.4718462,3.349591318,0.465569277
