,event_id,event_date,shed_start_time,shed_end_time,peak_oat,peak_demand_intensity_wft2,shed_avg_wft2
2,T0013,2018-06-06,2018-06-06 15:00:00,2018-06-06 18:00:00,93.794,2.830479954797265,0.1709190110111247
3,T0013,2018-06-07,2018-06-07 15:00:00,2018-06-07 18:00:00,91.886,2.6230885874971817,0.1300893600113514
4,T0013,2018-06-22,2018-06-22 15:00:00,2018-06-22 18:00:00,99.716,2.850882817755392,-0.0231147916865874
5,T0013,2018-06-27,2018-06-27 15:00:00,2018-06-27 18:00:00,99.122,2.883890385335197,-0.0031369680020952
6,T0013,2018-06-28,2018-06-28 15:30:00,2018-06-28 17:30:00,98.312,2.851637867902765,-0.0113651930576592
7,T0013,2018-07-02,2018-07-02 16:00:00,2018-07-02 18:00:00,100.022,2.897985839059958,0.1814430006696673
8,T0013,2018-07-03,2018-07-03 16:00:00,2018-07-03 18:00:00,100.904,2.9392327580826136,0.168874223184832
9,T0013,2018-07-18,2018-07-18 11:00:00,2018-07-18 11:30:00,103.37,2.9289110824828324,-0.1375598041042756
10,T0013,2018-07-19,2018-07-19 16:00:00,2018-07-19 18:00:00,106.286,2.976113971830701,0.1957631290530933
12,T0013,2018-07-23,2018-07-23 15:30:00,2018-07-23 17:30:00,100.832,2.8086873275786925,0.1704411811355427
13,T0013,2018-08-06,2018-08-06 15:30:00,2018-08-06 17:30:00,97.124,2.8568025945233733,-0.1346693432370921
14,T0013,2018-08-07,2018-08-07 15:30:00,2018-08-07 17:30:00,97.61,2.856464402362889,-0.1550720303728592
15,T0013,2018-08-08,2018-08-08 15:30:00,2018-08-08 17:30:00,90.41,2.7796947819329376,-0.359108241285635
16,T0013,2018-08-16,2018-08-16 15:30:00,2018-08-16 17:30:00,95.9,2.832908177709584,-0.3473277658403797
17,T0013,2018-08-17,2018-08-17 15:30:00,2018-08-17 17:30:00,97.43,2.840656307624332,-0.3784654119496999
18,T0013,2018-08-22,2018-08-22 15:30:00,2018-08-22 17:30:00,92.318,2.788962387793042,-0.2186147524126655
19,T0013,2018-08-23,2018-08-23 15:30:00,2018-08-23 17:30:00,97.7,2.8268545775776164,-0.2913958687357526
20,T0013,2018-08-24,2018-08-24 15:30:00,2018-08-24 17:30:00,96.782,2.8354254300288897,-0.3210118304840519
21,T0013,2018-09-18,2018-09-18 15:30:00,2018-09-18 17:30:00,93.452,2.853776453866141,-0.0638345728403404
22,T0013,2018-09-19,2018-09-19 15:30:00,2018-09-19 17:30:00,93.452,2.861123499393553,-0.1005148589505342
23,T0013,2019-06-19,2019-06-19 16:00:00,2019-06-19 17:30:00,94.442,2.6000634909031737,0.1352710518076446
24,T0013,2019-06-20,2019-06-20 16:00:00,2019-06-20 18:00:00,96.152,2.588281670067872,0.0261994400167182
25,T0013,2019-06-28,2019-06-28 14:00:00,2019-06-28 17:00:00,92.624,2.557052860648172,0.1603786281501399
26,T0013,2019-07-09,2019-07-09 16:00:00,2019-07-09 17:30:00,95.396,2.5587446138694907,0.1503960255075859
27,T0013,2019-07-10,2019-07-10 15:00:00,2019-07-10 17:00:00,96.062,2.478005362305804,0.1469738724322767
28,T0013,2019-07-30,2019-07-30 15:30:00,2019-07-30 17:30:00,98.6,2.516542183069431,0.0863422697954803
29,T0013,2019-07-31,2019-07-31 16:00:00,2019-07-31 18:00:00,96.134,2.477580599308664,0.2679226236908455
30,T0013,2019-08-01,2019-08-01 15:00:00,2019-08-01 17:00:00,93.416,2.452749286460163,0.210216113236649
